   117.250.113.140 9829    0.0                      (Guwahati, Assam, IN, AS) static.ill.117.250.113.140.bsnl.co.in                                                               
   117.250.113.138 9829    0.754              (North Guwāhāti, Assam, IN, AS) static.ill.117.250.113.138.bsnl.co.in                                                               
   117.216.207.122 9829    39.142                       (Chennai, TN, IN, AS) *                                                                                                   
   125.21.131.117  9498    43.606    (Saint Thomas Mount, Tamil Nadu, IN, AS)                                                                                                     
   116.119.61.126  9498    77.193               (Chennai, Tamil Nadu, IN, AS)                                                                                                     
   182.79.142.232  *       42.671               (Chennai, Tamil Nadu, IN, AS)                                                                                                     
╭─ 116.119.68.220  55944   74.412                        (None, None, IN, AS) *                                                                                                   
S&T (55944, )  
╰─ 27.111.230.140  *       68.966              (Singapore, Singapore, SG, AS) 55569-sg1-ix.equinix.com                                                                            
   ***             *       -inf                                           *** *                                                                                                   
   182.161.73.67   55569   271.348             (Singapore, Singapore, SG, AS)                                                                                                     
   182.161.73.41   55569   269.105             (Singapore, Singapore, SG, AS)                                                                                                     
