   190.64.201.9    6057    0.0       (Montevideo, Montevideo Department, UY, SA) r190-64-201-9.su-static.adinet.com.uy                                                               
   190.64.201.1    6057    0.717                   (Pando, Canelones, UY, SA) r190-64-201-1.su-static.adinet.com.uy                                                               
   190.64.221.142  6057    0.415                         (None, None, UY, SA) r190-64-221-142.ir-static.adinet.com.uy                                                             
   ***             *       -inf                                           *** *                                                                                                   
   200.40.177.48   6057    0.887                   (Pando, Canelones, UY, SA) asr3cen8-lag71-1603.agg.antel.net.uy                                                                
   179.31.59.231   6057    6.326                         (None, None, UY, SA) cbb4mln1-be29-2001.antel.net.uy                                                                     
   ***             *       -inf                                           *** *                                                                                                   
╭─ 179.31.62.4     6057    129.206   (Colonia del Sacramento, Colonia, UY, SA) brmi11.mia-be2.antel.net.uy                                                                         
LHL (6057, 2914)  tannat 👍 ↠ south-america-1-sam-1 ✓ || tannat 👍 ↠ monet 👍
╰─ 129.250.194.137 2914    127.101                   (Miami, Florida, US, NA) ce-0-4-2.a03.miamfl02.us.bb.gin.ntt.net                                                             
   157.238.226.1   2914    127.059                   (Miami, Florida, US, NA) ce-2-3-1-1001.a03.miamfl02.us.ce.gin.ntt.net                                                        
   109.230.214.3   199610  127.397                   (Miami, Florida, US, NA)                                                                                                     
