   192.189.157.25  64289   0.0              (Los Angeles, California, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   10.10.10.2      *       0.361                                          ***                                                                                                     
   63.222.114.150  3491    0.617            (Los Angeles, California, US, NA)                                                                                                     
   63.223.60.106   3491    7.732                    (San Joaquin, CA, US, NA) 63-223-60-106.static.pccwglobal.net                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   154.54.43.13    174     9.167                  (San Francisco, CA, US, NA) be3670.ccr22.sfo01.atlas.cogentco.com                                                               
   154.54.44.142   174     32.292                (Salt Lake City, UT, US, NA) be3110.ccr32.slc01.atlas.cogentco.com                                                               
   154.54.42.98    174     32.422                        (Denver, CO, US, NA) be3038.ccr22.den01.atlas.cogentco.com                                                               
   154.54.31.90    174     43.14                    (Kansas City, MO, US, NA) be3036.ccr22.mci01.atlas.cogentco.com                                                               
   154.54.44.170   174     55.037                       (Chicago, IL, US, NA) be2832.ccr42.ord01.atlas.cogentco.com                                                               
   154.54.46.178   174     54.91                        (Chicago, IL, US, NA) be2766.ccr41.ord03.atlas.cogentco.com                                                               
   38.32.98.66     32244   49.606                       (Chicago, IL, US, NA) cogent-lw-chi-border1-hu0-1-0-0.liquidweb.com                                                       
   69.167.128.212  36444   62.302                        (None, None, US, NA) lw-chi-border1.rtr.liquidweb.com                                                                    
   192.240.191.165 36444   62.455                        (None, None, US, NA) xledge1mel.core-1.mel.dtw.nexcess.net                                                               
   192.240.191.187 36444   82.555                        (None, None, US, NA) xlcore1.dx.1b.mel-01.dtw.nexcess.net                                                                
   208.86.250.253  36444   62.636                (Dearborn, Michigan, US, NA)                                                                                                     
