   5.20.2.255      21412   0.0                     (Vilnius, Vilnius, LT, EU) dmz-2-255.cgates.lt                                                                                 
   5.20.2.254      21412   0.423                   (Vilnius, Vilnius, LT, EU) dmz-2-254.cgates.lt                                                                                 
╭─ 5.20.2.251      21412   0.498                        (Vilnius, VL, LT, EU) dmz-2-251.cgates.lt                                                                                 
S (21412, 8473)  bcs-east-west-interlink ✓ || nordbalt ✘
╰─ 80.81.194.54    8473    30.483                          (Malmo, M, SE, EU) de-cix-gw.bahnhof.net                                                                               
   46.59.113.204   8473    31.076                          (Malmo, M, SE, EU) mmo-cr1.mmo-cr3.bahnhof.net                                                                         
   46.59.112.132   8473    30.931                     (Stockholm, AB, SE, EU) mmo-cr3.sto-cr4.bahnhof.net                                                                         
   46.59.113.209   8473    30.916                     (Stockholm, AB, SE, EU) sto-cr4.sto-cr1.bahnhof.net                                                                         
   176.10.178.41   8473    31.588                     (Stockholm, AB, SE, EU) sto-cr1.sto-pio-dr2.bahnhof.net                                                                     
   176.10.178.207  8473    30.687                     (Stockholm, AB, SE, EU) sto-pio-dr2.pio-dr2.bahnhof.net                                                                     
   192.42.97.210   8473    30.567              (Stockholm, Stockholm, SE, EU) se-sto-as8473.anchors.atlas.ripe.net                                                                
