   185.139.168.19  203296  0.0                    (Helsinki, Uusimaa, FI, EU) fi-hel-as203296.anchors.atlas.ripe.net                                                              
   185.139.168.1   203296  0.187                  (Helsinki, Uusimaa, FI, EU) gw-mansku.dei.fi                                                                                    
   80.248.252.221  16302   0.63                   (Helsinki, Uusimaa, FI, EU) 80-248-252-221.cust.suomicom.net                                                                    
   213.239.239.113 24940   1.319                  (Helsinki, Uusimaa, FI, EU) juniper4.dc1.hel1.hetzner.com                                                                       
╭─ 193.110.224.124 *       8.122                     (Espoo, Uusimaa, FI, EU)                                                                                                     
S&T (, 8473)  
╰─ 85.24.220.2     8473    9.642               (Stockholm, Stockholm, SE, EU) sto2-p1.se.as8473.net                                                                               
   46.59.112.87    8473    9.028               (Stockholm, Stockholm, SE, EU) sto2-p1.sto-cr2.as8473.net                                                                          
   46.59.113.239   8473    8.8                        (Stockholm, AB, SE, EU) sto-cr2.sto-cr3.bahnhof.net                                                                         
   176.10.178.43   8473    9.474                      (Stockholm, AB, SE, EU) sto-cr3.sto-pio-dr1.bahnhof.net                                                                     
   176.10.178.215  8473    8.61                       (Stockholm, AB, SE, EU) sto-pio-dr1.pio-dr2.bahnhof.net                                                                     
   192.42.97.210   8473    8.656               (Stockholm, Stockholm, SE, EU) se-sto-as8473.anchors.atlas.ripe.net                                                                
