   212.7.0.250     8728    0.0                    (Tallinn, Harjumaa, EE, EU) ee-tll-as8728.anchors.atlas.ripe.net                                                                
   212.7.0.253     8728    0.205                  (Tallinn, Harjumaa, EE, EU)                                                                                                     
   212.7.30.42     8728    0.626                  (Tallinn, Harjumaa, EE, EU) c-30-42.infonet.ee                                                                                  
   212.7.29.65     8728    0.761                        (Tallinn, 37, EE, EU) *                                                                                                   
╭─ 87.245.242.68   9002    0.408                  (Tallinn, Harjumaa, EE, EU) ae8-538.rt.eln.tll.ee.retn.net                                                                      
S&T (9002)  
╰─ 87.245.233.73   9002    0.473 (6.432)                 (Stockholm, AB, SE, EU) ae4-9.RT.TC1.STO.SE.retn.net                                                                        
   194.68.123.85   8473    6.83                     (Stockholm, 26, SE, None) netnod-ix-ge-a-sth-1500.bahnhof.net                                                                 
   46.59.112.174   8473    7.625               (Stockholm, Stockholm, SE, EU) sto4-er1.sto-cr1.as8473.net                                                                         
   176.10.178.41   8473    8.033                      (Stockholm, AB, SE, EU) sto-cr1.sto-pio-dr2.bahnhof.net                                                                     
   176.10.178.207  8473    7.122                      (Stockholm, AB, SE, EU) sto-pio-dr2.pio-dr2.bahnhof.net                                                                     
   192.42.97.210   8473    7.105               (Stockholm, Stockholm, SE, EU) se-sto-as8473.anchors.atlas.ripe.net                                                                
