   10.0.18.30      *       0.0                                            ***                                                                                                     
   10.0.18.1       *       0.3                                            ***                                                                                                     
   138.204.228.1   61506   0.465             (Valparaíso, Valparaíso, CL, SA)                                                                                                     
   138.204.229.98  61506   3.264               (Quillota, Valparaíso, CL, SA)                                                                                                     
   138.204.228.161 61506   3.406                       (Quillota, VS, CL, SA) *                                                                                                   
   8.242.201.85    3549    3.774     (Santiago, Santiago Metropolitan, CL, SA) host-8-242-201-85.centurylink.cl                                                                    
   200.186.40.114  3549    3.338 (6.242)(Santiago, Santiago Metropolitan, CL, SA) lag15.ar6.sgo1.ciriontechnologies.net                                                               
╭─ 200.186.40.117  3549    7.718     (Santiago, Santiago Metropolitan, CL, SA) ae4.edge1.sgo1.ciriontechnologies.net                                                               
LHL (3549)  
╰─ 200.189.230.62  3549    53.896              (São Paulo, São Paulo, BR, SA) 62.230.189.200.static.ciriontechnologies.net                                                        
   8.242.21.14     3356    132.013                (Osasco, São Paulo, BR, SA)                                                                                                     
   177.124.128.140 52863   137.473              (Campinas, São Paulo, BR, SA) blockade.security.upx.com                                                                           
   177.124.129.226 52863   138.2               (São Paulo, São Paulo, BR, SA) security.upx.com                                                                                    
