   200.160.6.19    22548   0.0                 (São Paulo, São Paulo, BR, SA) br-sao-as22548.anchors.atlas.ripe.net                                                               
   200.160.6.61    22548   1.626         (Taboão da Serra, São Paulo, BR, SA) ae1-89.ar3.jd.registro.br                                                                           
   200.160.0.253   22548   0.892                         (None, None, BR, SA) ae0-0.core1.nu.registro.br                                                                          
   200.160.0.161   22548   1.471                         (None, None, BR, SA) xe-5-0-0-0.gw1.nu.registro.br                                                                       
╭─ 209.51.184.197  6939    2.51                       (Sao Paulo, SP, BR, SA) 10gigabitethernet14-8.core2.sao1.he.net                                                             
S (6939)  
╰─ 184.104.198.242 6939    45.094          (Virginia Beach, Virginia, US, NA) port-channel1.core1.for1.he.net                                                                     
   184.104.199.177 6939    117.162                   (Miami, Florida, US, NA) 100ge0-53.core2.mia1.he.net                                                                         
   184.104.197.58  6939    116.906                        (Miami, FL, US, NA) port-channel1.core3.mia1.he.net                                                                     
   216.66.54.162   6939    111.818                   (Miami, Florida, US, NA)                                                                                                     
   177.124.130.57  52863   114.231                   (Miami, Florida, US, NA) security.upx.com                                                                                    
