   187.44.229.14   28186   0.0                      (Salvador, Bahia, BR, SA) 187-44-229-14.static.itsweb.com.br                                                                  
   187.44.229.13   28186   0.269                    (Salvador, Bahia, BR, SA) 187-44-229-13.static.itsweb.com.br                                                                  
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   189.89.141.33   28186   1.153                       (Salvador, BA, BR, SA) 189-89-141-33.STATIC.itsweb.com.br                                                                  
   189.89.133.182  28186   1.415                       (Salvador, BA, BR, SA) 189-89-133-182.STATIC.itsweb.com.br                                                                 
╭─ 45.184.144.214  *       20.324                  (Fortaleza, Ceará, BR, SA) as6939.fortaleza.ce.ix.br                                                                           
S (, 6939)  brusa ✘ || america-movil-submarine-cable-system-1-amx-1 ✘ || south-america-1-sam-1 ✘ || globenet ✘ || monet ✘ || americas-ii ✘
╰─ 184.104.199.177 6939    92.84                     (Miami, Florida, US, NA) 100ge0-53.core2.mia1.he.net                                                                         
   184.104.197.58  6939    91.183                         (Miami, FL, US, NA) port-channel1.core3.mia1.he.net                                                                     
   216.66.54.162   6939    90.109                    (Miami, Florida, US, NA)                                                                                                     
   177.124.130.57  52863   90.262                    (Miami, Florida, US, NA) security.upx.com                                                                                    
