   201.219.153.38  20015   0.0       (Santiago, Santiago Metropolitan, CL, SA) 38.static.netline.cl                                                                                
   201.219.153.33  20015   0.204     (Santiago, Santiago Metropolitan, CL, SA)                                                                                                     
   192.168.199.9   *       0.467                                          ***                                                                                                     
   192.168.20.4    *       0.48                                           ***                                                                                                     
   184.104.188.169 6939    57.826    (Santiago, Santiago Metropolitan, CL, SA) 100ge0-35.core1.scl1.he.net                                                                         
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
