   193.1.201.140   1213    0.0                   (Tallaght, Leinster, IE, EU) atlas-anchor.heanet.ie                                                                              
   193.1.201.138   1213    0.488                   (Dublin, Leinster, IE, EU) pw-spine1-vlan11.services.hea.net                                                                   
   87.44.56.177    1213    0.507                        (Dublin, L, IE, None) ae3.core1-pw.nn.hea.net                                                                             
   87.44.53.59     1213    1.092              (Blessington, Leinster, IE, EU) ae4-0.core1-cwt.nn.hea.net                                                                          
   149.14.149.233  174     1.369                   (Donard, Leinster, IE, EU) hu0-1-0-3.nr51.b020478-0.dub02.atlas.cogentco.com                                                   
   154.25.16.169   174     1.5                     (Carlow, Leinster, IE, EU) be4102.rcr21.dub02.atlas.cogentco.com                                                               
╭─ 154.54.57.141   174     2.232                          (Dublin, D, IE, EU) be2743.rcr21.dub01.atlas.cogentco.com                                                               
S&T (174)  geo-eirgrid ✘ || rockabill ✘ || esat-2 ✘ || sirius-south ✘ || exa-north-and-south © || havhingstenceltixconnect-2-cc-2 © || exa-express © || pan-european-crossing-uk-ireland ✓ || esat-1 ✘ || solas ©
╰─ 154.54.62.41    174     8.124                     (Liverpool, ENG, GB, EU) be2654.ccr21.lpl01.atlas.cogentco.com                                                               
   154.54.57.250   174     9.657                         (Leeds, ENG, GB, EU) be3579.rcr51.lba01.atlas.cogentco.com                                                               
   149.11.42.66    33920   9.567                         (Leeds, ENG, GB, EU) aq.demarc.cogentco.com                                                                              
   141.170.18.130  33920   9.538                         (Leeds, ENG, GB, EU) eth7.er1.cloud.aql.com                                                                              
   141.170.22.14   33920   9.712                     (Leeds, England, GB, EU) unassigned.aql.com                                                                                  
