   212.3.202.246   24921   0.0                           (Riga, Riga, LV, EU)                                                                                                     
   212.3.202.245   24921   0.395                         (Riga, Riga, LV, EU)                                                                                                     
   212.3.202.10    24921   0.391                         (Riga, Riga, LV, EU)                                                                                                     
   212.3.202.2     24921   1.153                         (Riga, Riga, LV, EU)                                                                                                     
   212.93.96.51    12847   0.504                         (Riga, Riga, LV, EU)                                                                                                     
╭─ 213.248.102.138 1299    0.739                         (Riga, Riga, LV, EU) riga-b3-link.ip.twelve99.net                                                                        
S (1299)  sweden-latvia © || latvia-sweden-1-lv-se-1 👍
╰─ 62.115.139.196  1299    11.816              (Stockholm, Stockholm, SE, EU) s-bb1-link.ip.twelve99.net                                                                          
   62.115.125.211  1299    13.718              (Stockholm, Stockholm, SE, EU) s-b1-link.ip.twelve99.net                                                                           
   62.115.35.123   1299    13.842              (Stockholm, Stockholm, SE, EU) bahnhof-ic-321294.ip.twelve99-cust.net                                                              
   46.59.112.141   8473    22.221                     (Stockholm, AB, SE, EU) sto-cr3.sto-cr4.bahnhof.net                                                                         
   46.59.112.133   8473    22.184                          (Malmo, M, SE, EU) sto-cr4.mmo-cr3.bahnhof.net                                                                         
   46.59.112.207   8473    22.383                          (Malmo, M, SE, EU) mmo-cr3.mmo-cr4.bahnhof.net                                                                         
   192.42.97.214   8473    21.822                      (Malmö, Skåne, SE, EU) se-mma-as8473.anchors.atlas.ripe.net                                                                
