   91.236.55.69    50599   0.0            (Toruń, Kujawsko-Pomorskie, PL, EU) host-91-236-55-69.dataspace.pl                                                                      
   91.236.55.68    50599   0.227          (Toruń, Kujawsko-Pomorskie, PL, EU) host-91-236-55-68.dataspace.pl                                                                      
   91.204.160.248  50599   0.266          (Toruń, Kujawsko-Pomorskie, PL, EU) cloud-public0.dss.dspace.pl                                                                         
   91.204.162.1    50599   0.381          (Toruń, Kujawsko-Pomorskie, PL, EU) irb.304.tor-cloud-r1.dspace.pl                                                                      
   91.204.160.50   50599   0.415          (Toruń, Kujawsko-Pomorskie, PL, EU) ae9.5.tor-cr-r2.dspace.pl                                                                           
   91.236.52.255   50599   0.494          (Toruń, Kujawsko-Pomorskie, PL, EU) ae0.500.tor-cr-r1.dspace.pl                                                                         
╭─ 193.111.38.45   24724   0.448 (4.113)               (Warsaw, Mazovia, PL, EU) rev-193.111.38.45.atman.pl                                                                          
S&T (24724, 8473)  baltica ✓ || denmark-poland-2 ✓
╰─ 80.81.194.54    8473    41.563                          (Malmo, M, SE, EU) de-cix-gw.bahnhof.net                                                                               
   176.10.179.84   8473    41.844                          (Malmo, M, SE, EU) mmo-cr1.mmo-cr4.bahnhof.net                                                                         
   192.42.97.214   8473    40.689                      (Malmö, Skåne, SE, EU) se-mma-as8473.anchors.atlas.ripe.net                                                                
