   185.18.215.214  48715   0.0                         (Shiraz, Fars, IR, AS)                                                                                                     
   172.28.255.1    *       0.594                                          ***                                                                                                     
   172.31.101.137  *       1.054                                          ***                                                                                                     
   172.31.102.138  *       0.589                                          ***                                                                                                     
   172.24.125.4    *       1.312                                          ***                                                                                                     
   172.17.134.45   *       0.97                                           ***                                                                                                     
   10.201.181.181  *       0.672                                          ***                                                                                                     
   172.16.18.130   *       1.033                                          ***                                                                                                     
   192.168.0.102   *       1.331                                          ***                                                                                                     
   172.18.9.210    *       0.56                                           ***                                                                                                     
   192.168.79.1    *       13.984                                         ***                                                                                                     
   46.249.120.153  201150  13.98                     (Kerman, Kerman, IR, AS)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   192.168.199.142 *       15.165                                         ***                                                                                                     
   46.249.122.98   201150  15.494                    (Kerman, Kerman, IR, AS)                                                                                                     
