   63.222.217.4    3491    0.0                      (London, England, GB, EU)                                                                                                     
   63.222.217.1    3491    0.858                    (Poplar, England, GB, EU)                                                                                                     
   63.218.242.129  3491    0.598                       (London, None, GB, EU) HundredGE0-3-0-0.br01.ldn04.pccwbtn.net                                                             
   208.184.12.144  6461    0.548                    (Poplar, England, GB, EU) zayo.ae21.mcs1.lhr15.uk.eth.zayo.com                                                                
   ***             *       -inf                                           *** *                                                                                                   
   64.125.28.151   6461    0.63                         (London, ENG, GB, EU) ae3.mpr1.lhr15.uk.zip.zayo.com                                                                      
   94.31.33.31     6461    0.714                    (London, England, GB, EU) 94.31.33.31.idia-288174-013-zyo.zip.zayo.com                                                        
   206.148.26.8    7578    0.674                    (Poplar, England, GB, EU) po10.lon-thn-bb1.globalsecurelayer.com                                                              
╭─ 206.148.26.15   7578    0.801                  (Shadwell, England, GB, EU) e50.lon-eqxld8-cr6.globalsecurelayer.com                                                            
S&T (7578)  circe-north ✘ || ulysses-2 ✘ || scylla ✘ || zeus ✘ || concerto ✘ || farland-north ✘
╰─ 206.148.26.22   7578    6.083           (Amsterdam, North Holland, NL, EU) e50.ams-eqxam5-bb4.globalsecurelayer.com                                                            
   203.17.244.18   137409  6.009           (Amsterdam, North Holland, NL, EU)                                                                                                     
   31.217.251.203  7578    21.861          (Amsterdam, North Holland, NL, EU) 39637.cust.gslnetworks.com                                                                          
   185.1.222.198   *       7.552                 (Dronten, Flevoland, NL, EU) speed-ix.prolocation.net                                                                            
   94.228.142.117  41887   7.812                 (Oudewater, Utrecht, NL, EU)                                                                                                     
