   193.201.40.210  24796   0.0                          (Rome, Lazio, IT, EU) it-rom-as24796.anchors.atlas.ripe.net                                                               
   193.201.40.209  24796   0.434                        (Rome, Lazio, IT, EU)                                                                                                     
╭─ 213.254.31.97   12779   1.005                        (Rome, Lazio, IT, EU) if-0-1-0-2-705.centurion.rom.itgate.net                                                             
S&T (12779)  seamewe-4 ✓ || imewe ✓
╰─ 213.254.31.246  12779   21.29                         (Paris, IDF, FR, EU) if-0-0-0-2.Asterix.core.PAR.itgate.net                                                              
   37.49.236.19    2200    20.378                        (Paris, IDF, FR, EU) renater.par.franceix.net                                                                            
   193.51.177.239  2200    28.012                  (Rennes, Brittany, FR, EU) hu0-3-0-1-ren-nr-lyon2-rtr-091.noc.renater.fr                                                       
   193.55.204.15   2200    28.019                      (Rennes, None, FR, EU) te0-3-0-0-ren-nr-rennes-rtr-091.noc.renater.fr                                                      
   193.51.181.93   2200    907.748                   (Grenoble, None, FR, EU) man-tigre-te1-4-grenoble-rtr-021.noc.renater.fr                                                     
   193.54.185.10   1942    28.026             (Épinay-sur-Seine, IDF, FR, EU) r-epn.grenet.fr                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   193.49.43.151   2200    28.196    (Grenoble, Auvergne-Rhône-Alpes, FR, EU)                                                                                                     
