   185.151.70.11   39534   0.0                    (Labège, Occitanie, FR, EU)                                                                                                     
   192.168.90.11   *       0.312                                          ***                                                                                                     
   213.242.120.237 3356    9.291     (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) 6-1-9.bear1.paris10.level3.net                                                                      
   171.75.8.243    3356    12.839    (Septèmes-les-Vallons, Provence-Alpes-Côte d'Azur, FR, EU) ae1.3505.edge4.mrs1.neo.colt.net                                                                    
   212.222.182.93  3257    12.398    (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) ae14.cr5-mrs1.ip4.gtt.net                                                                           
   213.200.119.214 3257    22.621                        (Paris, IDF, FR, EU) et-3-3-0.cr2-par7.ip4.gtt.net                                                                       
   77.67.123.206   2200    22.736                        (Paris, IDF, FR, EU) renater-gw-ix1.gtt.net                                                                              
   193.55.204.195  2200    24.794                       (Paris, None, FR, EU) et-3-1-2-ren-nr-paris2-rtr-131.noc.renater.fr                                                       
   193.51.177.239  2200    24.427                  (Rennes, Brittany, FR, EU) hu0-3-0-1-ren-nr-lyon2-rtr-091.noc.renater.fr                                                       
   193.55.204.15   2200    24.499                      (Rennes, None, FR, EU) te0-3-0-0-ren-nr-rennes-rtr-091.noc.renater.fr                                                      
   ***             *       -inf                                           *** *                                                                                                   
   193.54.185.10   1942    24.388             (Épinay-sur-Seine, IDF, FR, EU) r-epn.grenet.fr                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   193.49.43.151   2200    24.572    (Grenoble, Auvergne-Rhône-Alpes, FR, EU)                                                                                                     
