   194.187.174.6   35574   0.0                      (Milan, Lombardy, IT, EU)                                                                                                     
   194.187.174.4   35574   0.64                   (Rozzano, Lombardy, IT, EU)                                                                                                     
   62.115.158.49   1299    0.984                  (Rozzano, Lombardy, IT, EU) mno-b3-link.ip.twelve99.net                                                                         
╭─ 62.115.190.223  1299    0.749                    (Milan, Lombardy, IT, EU) gtt-ic-355662.ip.twelve99-cust.net                                                                  
S&T (1299, 3257)  janna © ↠ seamewe-4 ✓
╰─ 213.200.119.214 3257    19.462                        (Paris, IDF, FR, EU) et-3-3-0.cr2-par7.ip4.gtt.net                                                                       
   77.67.123.206   2200    18.781                        (Paris, IDF, FR, EU) renater-gw-ix1.gtt.net                                                                              
   193.55.204.195  2200    21.521                       (Paris, None, FR, EU) et-3-1-2-ren-nr-paris2-rtr-131.noc.renater.fr                                                       
   193.51.177.239  2200    21.031                  (Rennes, Brittany, FR, EU) hu0-3-0-1-ren-nr-lyon2-rtr-091.noc.renater.fr                                                       
   193.55.204.15   2200    20.991                      (Rennes, None, FR, EU) te0-3-0-0-ren-nr-rennes-rtr-091.noc.renater.fr                                                      
   193.51.181.93   2200    735.587                   (Grenoble, None, FR, EU) man-tigre-te1-4-grenoble-rtr-021.noc.renater.fr                                                     
   193.54.185.10   1942    21.017             (Épinay-sur-Seine, IDF, FR, EU) r-epn.grenet.fr                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   193.49.43.151   2200    21.163    (Grenoble, Auvergne-Rhône-Alpes, FR, EU)                                                                                                     
