   31.14.143.132   31034   0.0                      (Arezzo, Tuscany, IT, EU) host132-143-14-31.serverdedicati.aruba.it                                                           
   31.14.143.130   31034   0.539                  (La Costa, Tuscany, IT, EU) host130-143-14-31.serverdedicati.aruba.it                                                           
   62.149.185.19   31034   0.711                  (La Costa, Tuscany, IT, EU) cr1-be102.it1.aruba.it                                                                              
   ***             *       -inf                                           *** *                                                                                                   
   130.117.48.113  174     10.632                    (Venice, Veneto, IT, EU) be3137.rcr51.vce01.atlas.cogentco.com                                                               
   154.54.75.101   174     10.939                   (Milan, Lombardy, IT, EU) be2276.ccr71.mil02.atlas.cogentco.com                                                               
   154.54.59.109   174     10.332                  (Figino, Lombardy, IT, EU) be4271.rcr21.mil01.atlas.cogentco.com                                                               
╭─ 212.221.1.197   3257    10.015                         (Milan, 25, IT, EU) ae15.cr1-mil2.ip4.gtt.net                                                                           
S&T (3257)  
╰─ 213.200.119.214 3257    28.156                        (Paris, IDF, FR, EU) et-3-3-0.cr2-par7.ip4.gtt.net                                                                       
   77.67.123.206   2200    27.519                        (Paris, IDF, FR, EU) renater-gw-ix1.gtt.net                                                                              
   193.55.204.195  2200    29.841                       (Paris, None, FR, EU) et-3-1-2-ren-nr-paris2-rtr-131.noc.renater.fr                                                       
   193.51.177.239  2200    29.372                  (Rennes, Brittany, FR, EU) hu0-3-0-1-ren-nr-lyon2-rtr-091.noc.renater.fr                                                       
   193.55.204.15   2200    29.777                      (Rennes, None, FR, EU) te0-3-0-0-ren-nr-rennes-rtr-091.noc.renater.fr                                                      
   193.51.181.93   2200    3991.35                   (Grenoble, None, FR, EU) man-tigre-te1-4-grenoble-rtr-021.noc.renater.fr                                                     
   193.54.185.10   1942    29.222             (Épinay-sur-Seine, IDF, FR, EU) r-epn.grenet.fr                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   193.49.43.151   2200    29.84     (Grenoble, Auvergne-Rhône-Alpes, FR, EU)                                                                                                     
