   185.25.205.152  60798   0.0                      (Milan, Lombardy, IT, EU) 152.205.25.185.servereasy.it                                                                        
   185.25.205.1    60798   0.422                    (Milan, Lombardy, IT, EU) 1.205.25.185.servereasy.it                                                                          
   45.138.18.1     60798   1.258                   (Monopoli, Apulia, IT, EU)                                                                                                     
╭─ 78.152.49.149   3257    1.828                    (Milan, Lombardy, IT, EU) eth1-1.r1.mil1.it.atrato.net                                                                        
S&T (3257)  janna © ↠ seamewe-4 ✓
╰─ 213.200.119.214 3257    19.249                        (Paris, IDF, FR, EU) et-3-3-0.cr2-par7.ip4.gtt.net                                                                       
   77.67.123.206   2200    19.881                        (Paris, IDF, FR, EU) renater-gw-ix1.gtt.net                                                                              
   193.55.204.193  2200    27.602                       (Paris, None, FR, EU) et-2-0-0-ren-nr-paris2-rtr-131.noc.renater.fr                                                       
   193.51.177.239  2200    27.514                  (Rennes, Brittany, FR, EU) hu0-3-0-1-ren-nr-lyon2-rtr-091.noc.renater.fr                                                       
   193.55.204.15   2200    27.081                      (Rennes, None, FR, EU) te0-3-0-0-ren-nr-rennes-rtr-091.noc.renater.fr                                                      
   193.51.181.93   2200    52.309                    (Grenoble, None, FR, EU) man-tigre-te1-4-grenoble-rtr-021.noc.renater.fr                                                     
   193.54.185.10   1942    27.183             (Épinay-sur-Seine, IDF, FR, EU) r-epn.grenet.fr                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   193.49.43.151   2200    27.948    (Grenoble, Auvergne-Rhône-Alpes, FR, EU)                                                                                                     
