   185.157.231.49  41327   0.0                      (Palermo, Sicily, IT, EU) 49-231-157-185.fibertelecom.it                                                                      
   185.157.231.48  41327   0.325                    (Palermo, Sicily, IT, EU) 48-231-157-185.fibertelecom.it                                                                      
╭─ 185.157.228.24  41327   21.932                   (Milan, Lombardy, IT, EU) 24-228-157-185.fibertelecom.it                                                                      
S&T (41327, 2200)  seamewe-4 ✓
╰─ 37.49.236.19    2200    32.882                        (Paris, IDF, FR, EU) renater.par.franceix.net                                                                            
   193.51.177.239  2200    40.444                  (Rennes, Brittany, FR, EU) hu0-3-0-1-ren-nr-lyon2-rtr-091.noc.renater.fr                                                       
   193.55.204.15   2200    40.496                      (Rennes, None, FR, EU) te0-3-0-0-ren-nr-rennes-rtr-091.noc.renater.fr                                                      
   193.51.181.93   2200    1424.467                  (Grenoble, None, FR, EU) man-tigre-te1-4-grenoble-rtr-021.noc.renater.fr                                                     
   193.54.185.10   1942    40.574             (Épinay-sur-Seine, IDF, FR, EU) r-epn.grenet.fr                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   193.49.43.151   2200    40.747    (Grenoble, Auvergne-Rhône-Alpes, FR, EU)                                                                                                     
