   194.116.77.35   41364   0.0                      (Turin, Piedmont, IT, EU)                                                                                                     
   194.116.76.253  41364   1.064                  (Gerbido, Piedmont, IT, EU)                                                                                                     
╭─ 194.116.98.81   *       1.072                  (Gerbido, Piedmont, IT, EU) itgate-topix41364.topix.it                                                                          
S&T (, 12779)  janna ✘ ↠ seamewe-4 ✘
╰─ 213.254.31.246  12779   12.964                        (Paris, IDF, FR, EU) if-0-0-0-2.Asterix.core.PAR.itgate.net                                                              
   37.49.236.19    2200    12.601                        (Paris, IDF, FR, EU) renater.par.franceix.net                                                                            
   193.51.177.239  2200    20.535                  (Rennes, Brittany, FR, EU) hu0-3-0-1-ren-nr-lyon2-rtr-091.noc.renater.fr                                                       
   193.55.204.15   2200    20.579                      (Rennes, None, FR, EU) te0-3-0-0-ren-nr-rennes-rtr-091.noc.renater.fr                                                      
   193.51.181.93   2200    149.973                   (Grenoble, None, FR, EU) man-tigre-te1-4-grenoble-rtr-021.noc.renater.fr                                                     
   193.54.185.10   1942    20.554             (Épinay-sur-Seine, IDF, FR, EU) r-epn.grenet.fr                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   193.49.43.151   2200    20.796    (Grenoble, Auvergne-Rhône-Alpes, FR, EU)                                                                                                     
