   156.154.135.254 12008   0.0                (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   156.154.135.253 12008   0.249                  (Edenvale, Gauteng, ZA, AF)                                                                                                     
╭─ 76.74.41.137    3257    0.232                  (Edenvale, Gauteng, ZA, AF) ae0-1983.cr1-jhb2.ip4.gtt.net                                                                       
S (3257)  africa-coast-to-europe-ace ✓
╰─ 213.200.119.214 3257    164.099                       (Paris, IDF, FR, EU) et-3-3-0.cr2-par7.ip4.gtt.net                                                                       
   77.67.123.206   2200    179.963                       (Paris, IDF, FR, EU) renater-gw-ix1.gtt.net                                                                              
   193.55.204.195  2200    179.199                      (Paris, None, FR, EU) et-3-1-2-ren-nr-paris2-rtr-131.noc.renater.fr                                                       
   193.51.177.239  2200    178.89                  (Rennes, Brittany, FR, EU) hu0-3-0-1-ren-nr-lyon2-rtr-091.noc.renater.fr                                                       
   193.55.204.15   2200    178.122                     (Rennes, None, FR, EU) te0-3-0-0-ren-nr-rennes-rtr-091.noc.renater.fr                                                      
   193.51.181.93   2200    1061.184                  (Grenoble, None, FR, EU) man-tigre-te1-4-grenoble-rtr-021.noc.renater.fr                                                     
   193.54.185.10   1942    182.018            (Épinay-sur-Seine, IDF, FR, EU) r-epn.grenet.fr                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   193.49.43.151   2200    175.584   (Grenoble, Auvergne-Rhône-Alpes, FR, EU)                                                                                                     
