   80.77.4.60      15412   0.0                         (Dubai, Dubai, AE, AS)                                                                                                     
   80.77.4.57      15412   1.781                       (Dubai, Dubai, AE, AS)                                                                                                     
╭─ 85.95.25.94     15412   102.67                         (Dubai, DU, AE, AS) xe-0-0-1.0.pjr04.dxb001.flagtel.com                                                                 
S (15412, 1299)  
╰─ 62.115.187.124  1299    100.168   (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) mei-b5-link.ip.twelve99.net                                                                         
   212.221.88.253  3257    99.843                    (Marseille, PAC, FR, EU) ae9.cr6-mrs1.ip4.gtt.net                                                                            
   213.200.119.214 3257    113.713                       (Paris, IDF, FR, EU) et-3-3-0.cr2-par7.ip4.gtt.net                                                                       
   77.67.123.206   2200    135.36                        (Paris, IDF, FR, EU) renater-gw-ix1.gtt.net                                                                              
   193.55.204.195  2200    138.366                      (Paris, None, FR, EU) et-3-1-2-ren-nr-paris2-rtr-131.noc.renater.fr                                                       
   193.51.177.239  2200    134.274                 (Rennes, Brittany, FR, EU) hu0-3-0-1-ren-nr-lyon2-rtr-091.noc.renater.fr                                                       
   193.55.204.15   2200    138.332                     (Rennes, None, FR, EU) te0-3-0-0-ren-nr-rennes-rtr-091.noc.renater.fr                                                      
   193.51.181.93   2200    1542.762                  (Grenoble, None, FR, EU) man-tigre-te1-4-grenoble-rtr-021.noc.renater.fr                                                     
   193.54.185.10   1942    134.363            (Épinay-sur-Seine, IDF, FR, EU) r-epn.grenet.fr                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   193.49.43.151   2200    134.391   (Grenoble, Auvergne-Rhône-Alpes, FR, EU)                                                                                                     
