   94.24.115.154   15699   0.0                 (Barcelona, Catalonia, ES, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   94.24.115.146   15699   0.495     (Cerdanyola del Vallès, Catalonia, ES, EU)                                                                                                     
   185.11.200.65   15699   0.985     (Cerdanyola del Vallès, Catalonia, ES, EU)                                                                                                     
╭─ 217.111.216.185 8220    1.098     (Cerdanyola del Vallès, Catalonia, ES, EU)                                                                                                     
S&T (8220, )  
╰─ 193.114.160.151 *       18.64               (Paris, Île-de-France, FR, EU)                                                                                                     
   195.42.145.38   2200    19.383                       (Paris, 11, FR, None) renater.equinix-ix.fr                                                                               
   193.51.177.239  2200    27.043                  (Rennes, Brittany, FR, EU) hu0-3-0-1-ren-nr-lyon2-rtr-091.noc.renater.fr                                                       
   193.55.204.15   2200    26.791                      (Rennes, None, FR, EU) te0-3-0-0-ren-nr-rennes-rtr-091.noc.renater.fr                                                      
   193.51.181.93   2200    3635.181                  (Grenoble, None, FR, EU) man-tigre-te1-4-grenoble-rtr-021.noc.renater.fr                                                     
   193.54.185.10   1942    26.74              (Épinay-sur-Seine, IDF, FR, EU) r-epn.grenet.fr                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   193.49.43.151   2200    26.722    (Grenoble, Auvergne-Rhône-Alpes, FR, EU)                                                                                                     
