   195.32.69.197   21034   0.0                     (Pescara, Abruzzo, IT, EU) ripe-atlas.micso.it                                                                                 
   195.32.69.201   21034   0.515             (Case Zampetta, Abruzzo, IT, EU)                                                                                                     
╭─ 212.43.98.27    21034   0.568             (Case Zampetta, Abruzzo, IT, EU) ip98-27.quipo.net                                                                                   
S&T (21034, 3257)  seamewe-4 ✘
╰─ 84.233.225.101  3257    19.473                    (Marseille, PAC, FR, EU) *                                                                                                   
   213.200.119.214 3257    46.398                        (Paris, IDF, FR, EU) et-3-3-0.cr2-par7.ip4.gtt.net                                                                       
   77.67.123.206   2200    41.215                        (Paris, IDF, FR, EU) renater-gw-ix1.gtt.net                                                                              
   193.55.204.193  2200    39.724                       (Paris, None, FR, EU) et-2-0-0-ren-nr-paris2-rtr-131.noc.renater.fr                                                       
   193.51.177.239  2200    42.645                  (Rennes, Brittany, FR, EU) hu0-3-0-1-ren-nr-lyon2-rtr-091.noc.renater.fr                                                       
   193.55.204.15   2200    43.446                      (Rennes, None, FR, EU) te0-3-0-0-ren-nr-rennes-rtr-091.noc.renater.fr                                                      
   193.51.181.93   2200    1492.896                  (Grenoble, None, FR, EU) man-tigre-te1-4-grenoble-rtr-021.noc.renater.fr                                                     
   193.54.185.10   1942    39.459             (Épinay-sur-Seine, IDF, FR, EU) r-epn.grenet.fr                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   193.49.43.151   2200    43.089    (Grenoble, Auvergne-Rhône-Alpes, FR, EU)                                                                                                     
