   190.124.192.162 28109   0.0           (Bahía Blanca, Buenos Aires, AR, SA) anchorr.criba.edu.ar                                                                                
   190.124.192.129 28109   0.484         (Bahía Blanca, Buenos Aires, AR, SA) gatevm.criba.edu.ar                                                                                 
   190.124.210.20  28109   0.558         (Bahía Blanca, Buenos Aires, AR, SA)                                                                                                     
   190.124.210.5   3597    0.833                         (None, None, AR, SA) rtmetro5.criba.edu.ar                                                                               
   200.14.37.202   52332   8.596         (Bahía Blanca, Buenos Aires, AR, SA)                                                                                                     
╭─ 45.68.8.43      *       8.057     (Buenos Aires, Buenos Aires F.D., AR, SA)                                                                                                     
S&T (, 6057)  bicentenario ✘ || tannat ✘ || unisur ✘
╰─ 179.31.62.83    6057    35.569                        (None, None, UY, SA) brbar1.eze-ae1003.antel.net.uy                                                                      
   179.31.62.116   12956   35.668                        (None, None, UY, SA) crton1.eze-ae1007.antel.net.uy                                                                      
   179.31.62.102   6057    35.774                        (None, None, UY, SA) brmln2-be1003.antel.net.uy                                                                          
   179.31.59.231   6057    37.327                        (None, None, UY, SA) cbb4mln1-be29-2001.antel.net.uy                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   190.64.221.143  6057    41.206                        (None, None, UY, SA) r190-64-221-143.ir-static.adinet.com.uy                                                             
   190.64.201.9    6057    39.217    (Montevideo, Montevideo Department, UY, SA) r190-64-201-9.su-static.adinet.com.uy                                                               
