   152.195.112.52  15133   0.0                         (Tokyo, Tokyo, JP, AS)                                                                                                     
   152.195.112.49  15133   2.185                       (Tokyo, Tokyo, JP, AS)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
╭─ 154.54.91.126   174     129.999                     (Tokyo, Tokyo, JP, AS) be2915.ccr71.gum01.atlas.cogentco.com                                                               
S (174)  
╰─ 154.54.5.174    174     134.725                      (El Paso, TX, US, NA) be2301.ccr21.elp01.atlas.cogentco.com                                                               
   154.54.40.146   174     128.906                     (San Jose, CA, US, NA) be3177.ccr22.sjc01.atlas.cogentco.com                                                               
   154.54.5.102    174     131.465                     (San Jose, CA, US, NA) be3144.ccr41.sjc03.atlas.cogentco.com                                                               
   154.54.43.13    174     132.951                (San Francisco, CA, US, NA) be3670.ccr22.sfo01.atlas.cogentco.com                                                               
   154.54.30.9     174     133.876      (West Sacramento, California, US, NA) be4446.rcr71.smf01.atlas.cogentco.com                                                               
   154.54.93.206   174     133.44       (West Sacramento, California, US, NA) be4425.agr61.smf01.atlas.cogentco.com                                                               
   154.24.35.214   174     134.872                      (Atlanta, GA, US, NA) te0-0-2-0.nr11.b000189-0.atl01.atlas.cogentco.com                                                   
   ***             *       -inf                                           *** *                                                                                                   
   173.225.174.17  17018   133.339        (San Francisco, California, US, NA)                                                                                                     
   65.74.145.159   17018   133.859        (San Francisco, California, US, NA)                                                                                                     
   23.174.128.243  53698   133.439           (Sacramento, California, US, NA) us-sac-as53698.anchors.atlas.ripe.net                                                               
