   200.7.84.24     28000   0.0       (Montevideo, Montevideo Department, UY, SA) uy-mvd-as28000.anchors.atlas.ripe.net                                                               
   200.7.84.34     28000   2.115     (Montevideo, Montevideo Department, UY, SA) edgemvd01-bbone.lacnic.net.uy                                                                       
   200.40.98.28    6057    7.563     (Montevideo, Montevideo Department, UY, SA)                                                                                                     
   179.31.62.94    6057    133.93    (Colonia del Sacramento, Colonia, UY, SA) brmlg1.pdp-be15.antel.net.uy                                                                        
╭─ 179.31.62.39    6057    133.781                       (None, None, UY, SA) crsan1.gru-ae1038.antel.net.uy                                                                      
LHL (6057)  tannat 👍 ↠ south-america-1-sam-1 ✓ || tannat 👍 ↠ monet 👍 || tannat 👍 ↠ seabras-1 ✓
╰─ 38.32.184.42    6057    137.612                     (Bensalem, PA, US, NA) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   154.54.30.53    174     144.691                   (Washington, DC, US, NA) be3083.ccr41.dca01.atlas.cogentco.com                                                               
   154.54.88.230   174     139.821                     (Richmond, VA, US, NA) be2787.rcr01.ric01.atlas.cogentco.com                                                               
   154.24.27.78    22845   145.546                     (Richmond, VA, US, NA) te0-0-2-3.nr11.b002102-0.ric01.atlas.cogentco.com                                                   
   ***             *       -inf                                           *** *                                                                                                   
   209.10.65.51    53907   151.814                (Ashburn, Virginia, US, NA)                                                                                                     
   209.10.80.171   30025   157.081                      (Fairfax, VA, US, NA) *                                                                                                   
   23.152.192.245  53698   147.241               (Richmond, Virginia, US, NA) us-rcd-as53698-client.anchors.atlas.ripe.net                                                        
