   206.196.178.150 10886   0.0                     (Reston, Virginia, US, NA) us-xqm-as10886.anchors.atlas.ripe.net                                                               
   206.196.178.149 10886   0.32              (Pimmit Hills, Virginia, US, NA)                                                                                                     
   38.122.166.5    174     1.057                     (Washington, DC, US, NA) be4467.nr11.b005897-1.dca01.atlas.cogentco.com                                                      
   154.24.64.185   174     1.402                     (Washington, DC, US, NA) te0-0-0-5.agr22.dca01.atlas.cogentco.com                                                            
   154.54.81.173   174     1.618                     (Washington, DC, US, NA) be3309.ccr41.dca01.atlas.cogentco.com                                                               
   154.54.88.230   174     5.009                       (Richmond, VA, US, NA) be2787.rcr01.ric01.atlas.cogentco.com                                                               
   154.24.27.78    22845   5.243                       (Richmond, VA, US, NA) te0-0-2-3.nr11.b002102-0.ric01.atlas.cogentco.com                                                   
   ***             *       -inf                                           *** *                                                                                                   
   209.10.65.43    53907   4.77                   (Ashburn, Virginia, US, NA)                                                                                                     
   209.10.80.169   53907   7.893               (Glen Allen, Virginia, US, NA)                                                                                                     
   23.152.192.245  53698   5.172                 (Richmond, Virginia, US, NA) us-rcd-as53698-client.anchors.atlas.ripe.net                                                        
