   213.108.25.10   197564  0.0                      (Täby, Stockholm, SE, EU) ripe-atlas2.iis.se                                                                                  
   213.108.25.2    197564  0.96                (Stockholm, Stockholm, SE, EU) gw25-2.iis.se                                                                                       
   212.247.125.21  1257    0.723               (Stockholm, Stockholm, SE, EU) static-212-247-125-21.cust.tele2.se                                                                 
   91.129.16.138   1257    1.157               (Stockholm, Stockholm, SE, EU) ch-glo-cagg-1.bundle-ether4.tele2.net                                                               
   91.129.12.130   1257    0.961               (Stockholm, Stockholm, SE, EU) avk-core-2.bundle-ether11.tele2.net                                                                 
   91.129.14.112   1257    1.631               (Stockholm, Stockholm, SE, EU) sk1-peer-1.ae1-unit0.tele2.net                                                                      
╭─ 87.245.242.218  9002    0.951               (Stockholm, Stockholm, SE, EU) ae8-201.rt.tc1.sto.se.retn.net                                                                      
S (9002)  bcs-east-west-interlink ✓ || nordbalt ✘
╰─ 87.245.232.241  9002    13.338                       (Vilnius, VL, LT, EU) ae2-5.RT.TIC.VNO.LT.retn.net                                                                        
   87.245.242.169  15440   13.402                       (Vilnius, VL, LT, EU) GW-Baltnetos.retn.net                                                                               
   213.197.128.66  15440   36.284                       (Vilnius, VL, LT, EU) web1.microlink.lt                                                                                   
   213.197.128.102 174     36.65                        (Vilnius, VL, LT, EU) ocean.data.lt                                                                                       
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   86.38.3.141     15419   32.231                    (Kaunas, Kaunas, LT, EU) 141.3.38.86.static.telecentras.lt                                                                   
