   192.42.97.210   8473    0.0                 (Stockholm, Stockholm, SE, EU) se-sto-as8473.anchors.atlas.ripe.net                                                                
   192.42.97.209   8473    0.531               (Stockholm, Stockholm, SE, EU)                                                                                                     
   176.10.178.214  8473    1.195               (Stockholm, Stockholm, SE, EU) pio-dr2.sto-pio-dr1.bahnhof.net                                                                     
   176.10.178.42   8473    1.102               (Stockholm, Stockholm, SE, EU) sto-pio-dr1.sto-cr3.bahnhof.net                                                                     
╭─ 194.68.123.157  *       1.122               (Stockholm, Stockholm, SE, EU) netnod-a.stk.retn.net                                                                               
S (, 9002)  bcs-east-west-interlink ✘ || nordbalt ✘
╰─ 87.245.232.241  9002    13.444                       (Vilnius, VL, LT, EU) ae2-5.RT.TIC.VNO.LT.retn.net                                                                        
   87.245.242.169  15440   13.884                       (Vilnius, VL, LT, EU) GW-Baltnetos.retn.net                                                                               
   213.197.128.66  15440   28.897                       (Vilnius, VL, LT, EU) web1.microlink.lt                                                                                   
   213.197.128.102 174     29.518                       (Vilnius, VL, LT, EU) ocean.data.lt                                                                                       
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   86.38.3.141     15419   29.088                    (Kaunas, Kaunas, LT, EU) 141.3.38.86.static.telecentras.lt                                                                   
