   23.133.168.197  400442  0.0                   (Winnipeg, Manitoba, CA, NA)                                                                                                     
   23.133.168.129  400442  0.112                 (Winnipeg, Manitoba, CA, NA)                                                                                                     
   205.236.99.241  400442  0.538                 (Winnipeg, Manitoba, CA, NA)                                                                                                     
   207.245.202.224 6461    0.449                 (Winnipeg, Manitoba, CA, NA)                                                                                                     
   64.125.22.217   6461    0.436 (1.112)            (Winnipeg, Manitoba, CA, NA) ae2.mpr1.ywg2.ca.zip.zayo.com                                                                       
   64.125.20.74    6461    22.095                  (Toronto, Ontario, CA, NA) ae20.mpr1.tor3.ca.zip.zayo.com                                                                      
   64.125.23.119   6461    22.426                       (Toronto, ON, CA, NA) ae5.mpr1.yyz1.ca.zip.zayo.com                                                                       
   170.39.230.248  835     22.299                  (Toronto, Ontario, CA, NA) c1.yyz2.as835.net                                                                                   
   23.130.139.252  52210   28.643                   (Ottawa, Ontario, CA, NA) yow-cr2.accuris.ca                                                                                  
   23.130.139.254  52210   28.676                   (Kanata, Ontario, CA, NA) yow-sw1.accuris.ca                                                                                  
   23.130.139.89   52210   28.548                   (Kanata, Ontario, CA, NA) 89-139-130-23.static.accuris.ca                                                                     
