   103.23.232.7    58475   0.0        (Banjarmasin, South Kalimantan, ID, AS)                                                                                                     
   103.23.232.1    58475   0.79       (Banjarmasin, South Kalimantan, ID, AS)                                                                                                     
╭─ 36.93.255.177   7713    3.524                        (Batam, Riau, ID, AS)                                                                                                     
S&T (7713)  
╰─ 180.240.193.93  7713    18.414              (Singapore, Singapore, SG, AS)                                                                                                     
   180.240.193.93  7713    18.414              (Singapore, Singapore, SG, AS)                                                                                                     
   180.240.204.8   7713    19.303              (Singapore, Singapore, SG, AS)                                                                                                     
   93.186.133.88   6762    19.307              (Singapore, Singapore, SG, AS) et5-1-2.singapore2.sin.seabone.net                                                                  
   93.186.133.95   6762    26.886              (Singapore, Singapore, SG, AS)                                                                                                     
   93.186.133.210  6762    19.231              (Singapore, Singapore, SG, AS)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   45.87.135.252   208398  19.686              (Singapore, Singapore, SG, AS)                                                                                                     
