   152.195.206.35  15133   0.0                 (São Paulo, São Paulo, BR, SA)                                                                                                     
   152.195.206.33  15133   0.918                  (Osasco, São Paulo, BR, SA)                                                                                                     
╭─ 199.100.1.177   174     120.878                (Osasco, São Paulo, BR, SA) be7253.ccr31.sao01.atlas.cogentco.com                                                               
S (174)  
╰─ 154.54.88.1     174     120.89                      (New York, NY, US, NA) be2531.ccr31.jfk10.atlas.cogentco.com                                                               
   154.54.0.141    174     120.777                     (New York, NY, US, NA) be3496.ccr42.jfk02.atlas.cogentco.com                                                               
   154.54.90.66    174     121.562          (New York City, New York, US, NA) be3202.rcr51.ewr01.atlas.cogentco.com                                                               
   154.24.80.170   174     122.203           (Piscataway, New Jersey, US, NA) be3215.nr51.b033057-0.ewr01.atlas.cogentco.com                                                      
   38.122.244.34   55081   128.834                       (None, None, US, NA) *                                                                                                   
   23.148.232.1    59678   128.644            (Middlesex, New Jersey, US, NA) xgw-0101-ewr1.int.36.services                                                                       
   23.148.232.6    59678   128.996           (Piscataway, New Jersey, US, NA) us-pil-as59678.anchors.atlas.ripe.net                                                               
