   207.246.74.246  20473   0.0                       (Miami, Florida, US, NA) 207.246.74.246.vultrusercontent.com                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   104.156.243.129 20473   22.496                    (Miami, Florida, US, NA) vl199-ds1-j2-109.mia1.constant.com                                                                  
   10.73.1.57      *       0.968                                          ***                                                                                                     
   10.73.3.9       *       4.461                                          ***                                                                                                     
   10.73.3.2       *       0.52                                           ***                                                                                                     
   63.217.112.65   3491    1.027                     (Miami, Florida, US, NA) 63-217-112-65.static.pccwglobal.net                                                                 
   129.250.8.88    2914    3.006                     (Miami, Florida, US, NA) ae-36.a03.miamfl02.us.bb.gin.ntt.net                                                                
   129.250.7.47    2914    1.224                     (Miami, Florida, US, NA) ae-3.r23.miamfl02.us.bb.gin.ntt.net                                                                 
   129.250.2.86    2914    13.311 (24.466)                    (None, None, US, NA) ae-4.sayonara-dorian.r24.asbnva02.us.bb.gin.ntt.net                                                 
   129.250.2.36    2914    13.136 (25.398)                    (None, None, US, NA) ae-0.sayonara-dorian.r25.asbnva02.us.bb.gin.ntt.net                                                 
   129.250.6.117   2914    30.348                        (None, None, US, NA) ae-4.sayonara-dorian.r21.nwrknj03.us.bb.gin.ntt.net                                                 
   129.250.2.215   2914    30.234                        (None, None, US, NA) ae-1.sayonara-dorian.a00.nwrknj03.us.bb.gin.ntt.net                                                 
   128.241.10.173  2914    31.13               (Carteret, New Jersey, US, NA) ae-0.24-shells.nwrknj03.us.bb.gin.ntt.net                                                           
   23.148.232.1    59678   29.493             (Middlesex, New Jersey, US, NA) xgw-0101-ewr1.int.36.services                                                                       
   23.148.232.6    59678   31.061            (Piscataway, New Jersey, US, NA) us-pil-as59678.anchors.atlas.ripe.net                                                               
