   23.152.192.245  53698   0.0                   (Richmond, Virginia, US, NA) us-rcd-as53698-client.anchors.atlas.ripe.net                                                        
   23.152.192.9    53698   0.462                 (Richmond, Virginia, US, NA) gateway98.qts.ric.nix-ops.net                                                                       
   209.10.80.170   53907   0.518                 (Sandston, Virginia, US, NA)                                                                                                     
   209.10.65.68    53907   1.241             (Williamsburg, Virginia, US, NA)                                                                                                     
   209.10.65.44    53907   1.232                 (Scotland, Virginia, US, NA)                                                                                                     
   38.140.19.57    174     1.092                 (Scotland, Virginia, US, NA)                                                                                                     
   154.24.27.77    174     1.498             (Williamsburg, Virginia, US, NA) te0-0-0-23.rcr01.ric01.atlas.cogentco.com                                                           
   154.54.88.229   174     1.335 (4.52)             (Ashburn, Virginia, US, NA) be2787.ccr41.dca01.atlas.cogentco.com                                                               
   154.54.7.158    174     18.119                       (Atlanta, GA, US, NA) be2112.ccr41.atl01.atlas.cogentco.com                                                               
   154.54.24.146   174     31.182                         (Miami, FL, US, NA) be3482.ccr21.mia01.atlas.cogentco.com                                                               
   154.54.5.82     174     37.279                         (Tampa, FL, US, NA) be2261.rcr21.tpa01.atlas.cogentco.com                                                               
   154.24.67.153   174     37.484                         (Tampa, FL, US, NA) be2284.nr51.b005666-1.tpa01.atlas.cogentco.com                                                      
   38.140.225.146  19151   37.678                         (Tampa, FL, US, NA) *                                                                                                   
   66.216.2.134    19151   37.476                         (Tampa, FL, US, NA) be2.cr01.655.tpa.bboi.net                                                                           
   66.216.50.42    19151   37.543                    (Tampa, Florida, US, NA)                                                                                                     
   199.47.174.227  12110   36.964                    (Tampa, Florida, US, NA) atlas-anchor.tampa.coop                                                                             
