   197.80.104.36   10474   0.0                (Johannesburg, Gauteng, ZA, AF) 197-80-104-36.jhb.mweb.co.za                                                                        
   197.80.75.3     10474   1.934                  (Randburg, Gauteng, ZA, AF) 20.bu-ether1.vic-pe-12.optinet.net                                                                  
   197.80.7.9      10474   1.955                         (None, None, ZA, AF) 101.bu-ether5.vic-pe-1.optinet.net                                                                  
   197.80.4.37     10474   10.818                        (None, None, ZA, AF) bu-ether3.mca-pe-1.optinet.net                                                                      
   197.80.4.224    10474   2.863                         (None, None, ZA, AF) bu-ether2.mca-pe-2.optinet.net                                                                      
   197.80.5.60     10474   7.113                         (None, None, ZA, AF) 197-80-5-60.jhb.mweb.co.za                                                                          
   197.80.4.97     10474   3.391                  (Randburg, Gauteng, ZA, AF) 197-80-4-97.jhb.mweb.co.za                                                                          
   197.80.97.62    10474   5.082                  (Randburg, Gauteng, ZA, AF) 197-80-97-62.jhb.mweb.co.za                                                                         
   105.16.29.9     37100   5.148                   (Johannesburg, GT, ZA, AF) ce-4-0-2.er-01-jnb.za.seacomnet.com                                                                 
╭─ 105.22.34.174   37100   10.402             (Johannesburg, Gauteng, ZA, AF) ce-0-1-5-91.customer-gw-rogers-capital.er-01-jnb.za.seacomnet.com                                   
S (37100, 36868)  safe ✓ || meltingpot-indianoceanic-submarine-system-metiss ✓
╰─ 196.46.34.108   36868   47.586                        (None, None, MU, AF) *                                                                                                   
   196.46.49.34    36868   46.112    (Quatre Bornes, Plaines Wilhems, MU, AF)                                                                                                     
   102.222.106.178 328699  44.805            (Port Louis, Port Louis, MU, AF)                                                                                                     
