   102.220.178.25  328829  0.0              (Cape Town, Western Cape, ZA, AF) unknown.vumatel.co.za                                                                               
   102.220.178.30  328829  0.274            (Cape Town, Western Cape, ZA, AF) unknown.vumatel.co.za                                                                               
   102.220.179.117 328829  0.758            (Cape Town, Western Cape, ZA, AF) unknown.vumatel.co.za                                                                               
   102.220.178.122 328829  1.128            (Cape Town, Western Cape, ZA, AF) rnd-br1-sfp3-862.vumatel.co.za                                                                      
   105.22.67.165   37100   0.99             (Cape Town, Western Cape, ZA, AF)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   105.25.160.178  37100   17.152             (Johannesburg, Gauteng, ZA, AF) ce-0-0-9.cr-02-jnb.za.seacomnet.com                                                                 
   105.16.28.9     37100   16.984                  (Johannesburg, GT, ZA, AF) ce-0-0-2.er-01-jnb.za.seacomnet.com                                                                 
╭─ 105.22.34.174   37100   21.047             (Johannesburg, Gauteng, ZA, AF) ce-0-1-5-91.customer-gw-rogers-capital.er-01-jnb.za.seacomnet.com                                   
S (37100, 36868)  safe ✓ || meltingpot-indianoceanic-submarine-system-metiss ✓
╰─ 196.46.34.108   36868   64.185                        (None, None, MU, AF) *                                                                                                   
   196.46.49.34    36868   64.092    (Quatre Bornes, Plaines Wilhems, MU, AF)                                                                                                     
   102.222.106.178 328699  64.499            (Port Louis, Port Louis, MU, AF)                                                                                                     
