   196.6.220.42    37578   0.0              (Nairobi, Nairobi County, KE, AF)                                                                                                     
   196.6.220.1     37578   0.507            (Nairobi, Nairobi County, KE, AF)                                                                                                     
   197.155.93.66   30844   0.858            (Nairobi, Nairobi County, KE, AF) 197.155.93.66.liquidtelecom.net                                                                     
   197.155.94.50   30844   73.001                     (Nairobi, None, KE, AF) hu-0-4-0-2.lke-p2-nbi.liquidtelecom.net                                                             
╭─ 197.155.94.189  30844   73.247                       (Nairobi, 30, KE, AF) et-1-1-10.lke-p2-msa.liquidtelecom.net                                                              
S (30844)  
╰─ 41.175.223.182  30844   76.29              (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   41.175.223.180  30844   75.908           (Cape Town, Western Cape, ZA, AF)                                                                                                     
   5.11.13.174     30844   73.264           (Cape Town, Western Cape, ZA, AF) customer.netc-vsat25-rog.liquidtelecom.com                                                          
   196.60.70.160   37468   72.931                   (Cape Town, 11, ZA, None) 196-10-140-160.ixp.capetown                                                                         
   102.130.68.113  37468   73.954                  (Johannesburg, GT, ZA, AF) *                                                                                                   
   102.130.68.151  37468   73.271             (Johannesburg, Gauteng, ZA, AF)                                                                                                     
