   5.180.228.37    8637    0.0                       (Madrid, Madrid, ES, EU) 5.180.228.37.core.madrid.spainwisp.com                                                              
   5.180.228.33    8637    0.378                     (Madrid, Madrid, ES, EU) 5.180.228.33.core.madrid.spainwisp.com                                                              
╭─ 213.249.120.209 3356    0.378 (2.112)                (Madrid, Madrid, ES, EU) et-6-0-4-0.edge1.madrid1.level3.net                                                                 
S (3356)  marea ✓
╰─ 4.69.209.74     3356    97.368                        (Newark, NJ, US, NA) *                                                                                                   
   4.34.79.46      3356    97.738                (Newark, New Jersey, US, NA)                                                                                                     
   64.15.2.89      6128    104.438                       (None, None, US, NA) *                                                                                                   
   64.15.3.153     6128    100.109                       (None, None, US, NA) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   65.51.3.116     54004   106.011           (Greenwich, Connecticut, US, NA) 41330374.cst.lightpath.net                                                                          
   65.51.3.117     54004   106.298           (Waltham, Massachusetts, US, NA) 41330375.cst.lightpath.net                                                                          
   23.175.208.253  54316   100.403          (New York City, New York, US, NA) core1.ny1.ap.foundation                                                                             
   23.175.209.11   54316   101.125                (Astoria, New York, US, NA)                                                                                                     
