   185.71.177.180  200675  0.0                    (Boden, Norrbotten, SE, EU)                                                                                                     
   185.71.177.178  200675  0.262                  (Boden, Norrbotten, SE, EU) ge65-0-42-1001.br3.hybod.hydro66.net                                                                
   185.71.176.109  200675  0.237                          (Boden, BD, SE, EU) te-0-1-1.br4.hybod.hydro66.net                                                                      
   62.115.188.84   1299    13.462              (Stockholm, Stockholm, SE, EU) sto-b3-link.ip.twelve99.net                                                                         
╭─ 62.115.118.108  1299    13.857              (Stockholm, Stockholm, SE, EU) s-bb2-link.ip.twelve99.net                                                                          
T (1299)  
╰─ 62.115.115.247  1299    25.028    (Saint Petersburg, St.-Petersburg, RU, EU) sap-b4-link.ip.twelve99.net                                                                         
   213.248.100.127 1299    23.363    (Saint Petersburg, St.-Petersburg, RU, EU) ertelekom-ic-379689.ip.twelve99-cust.net                                                            
   31.131.196.10   9049    72.047               (Tomsk, Tomsk Oblast, RU, EU) 31x131x196x10.static.ertelecom.ru                                                                   
   31.131.196.11   9049    72.391               (Tomsk, Tomsk Oblast, RU, EU) 31x131x196x11.static.ertelecom.ru                                                                   
   193.42.115.222  51724   72.667               (Tomsk, Tomsk Oblast, RU, EU) p7234-probes-atlas-ripe.flynet.pro                                                                  
