   95.175.97.22    49282   0.0                      (Pori, Satakunta, FI, EU)                                                                                                     
   95.175.97.18    49282   0.321                    (Pori, Satakunta, FI, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   95.175.96.7     49282   5.678                  (Helsinki, Uusimaa, FI, EU) 0000-rsegc-dc2-uut.mgmt.fi.ficolo.net                                                               
   184.104.231.210 6939    5.022                  (Helsinki, Uusimaa, FI, EU) e0-8.switch1.hel1.he.net                                                                            
╭─ 193.110.224.98  *       5.392                  (Helsinki, Uusimaa, FI, EU)                                                                                                     
S&T (, 42708)  sweden-finland-4-sfs-4 ✘ || eastern-light ✘ || bcs-north---phase-1 ✘ || baltic-sea-submarine-cable ✘
╰─ 80.67.4.166     42708   11.402                     (Stockholm, AB, SE, EU) be-3.cr2.sto2.se.portlane.net                                                                       
   80.67.4.133     42708   11.393                     (Stockholm, AB, SE, EU) be-2.pe3.sto1.se.portlane.net                                                                       
   80.67.2.157     42708   11.645              (Stockholm, Stockholm, SE, EU) 80-67-2-157.static.portlane.net                                                                     
   31.3.155.41     51430   11.4                (Stockholm, Stockholm, SE, EU) iajsyagsshoes0.shoesnethoje.com.br                                                                  
