   149.20.162.6    21699   0.0              (Los Angeles, California, US, NA)                                                                                                     
   149.20.162.5    21699   10.885           (Los Angeles, California, US, NA)                                                                                                     
   149.20.160.24   21699   0.48             (Los Angeles, California, US, NA)                                                                                                     
   66.180.193.33   4213    0.314            (Los Angeles, California, US, NA)                                                                                                     
   50.242.151.169  7922    0.853            (Los Angeles, California, US, NA) te-0-1-0-1-8-pe01.losangeles.ca.ibone.comcast.net                                                   
   96.110.44.97    7922    0.795                    (Los Angeles, CA, US, NA) be-2101-cs01.losangeles.ca.ibone.comcast.net                                                        
   96.110.45.162   7922    0.908                    (Los Angeles, CA, US, NA) be-1111-cr11.losangeles.ca.ibone.comcast.net                                                        
   96.110.36.158   7922    8.051                         (None, None, US, NA) be-304-cr11.9greatoaks.ca.ibone.comcast.net                                                         
   68.86.166.129   7922    7.74                          (None, None, US, NA) be-1111-cs01.9greatoaks.ca.ibone.comcast.net                                                        
   68.86.166.134   7922    7.705                         (None, None, US, NA) be-1112-cr12.9greatoaks.ca.ibone.comcast.net                                                        
   96.110.37.181   7922    8.137                      (Sunnyvale, CA, US, NA) be-304-cr12.sunnyvale.ca.ibone.comcast.net                                                          
   96.110.46.17    7922    8.088                      (Sunnyvale, CA, US, NA) be-1212-cs02.sunnyvale.ca.ibone.comcast.net                                                         
   96.110.41.214   7922    8.726                      (Palo Alto, CA, US, NA) be-3202-pe02.529bryant.ca.ibone.comcast.net                                                         
   75.149.228.182  7922    9.633               (San Jose, California, US, NA) as33132-1-c.56marietta.ga.ibone.comcast.net                                                         
   192.158.252.10  1280    9.864          (Mountain View, California, US, NA) us-pao-as1280.anchors.atlas.ripe.net                                                                
