   102.219.127.20  37468   0.0                 (Singapore, Singapore, SG, AS)                                                                                                     
╭─ 102.219.127.17  37468   0.28                (Singapore, Singapore, SG, AS)                                                                                                     
S (37468)  asia-america-gateway-aag-cable-system ✓
╰─ 102.219.127.5   37468   162.665          (Los Angeles, California, US, NA)                                                                                                     
   170.238.233.33  37468   271.597                   (Miami, Florida, US, NA) 33.233.238.170.angolacables.ao                                                                      
   62.115.162.36   1299    271.633                   (Miami, Florida, US, NA) boca-b3-link.ip.twelve99.net                                                                        
   62.115.123.28   1299    247.849                (Ashburn, Virginia, US, NA) rest-bb1-link.ip.twelve99.net                                                                       
   62.115.141.245  1299    303.485          (New York City, New York, US, NA) nyk-bb1-link.ip.twelve99.net                                                                        
   62.115.138.117  1299    322.071          (Santa Clara, California, US, NA) palo-b24-link.ip.twelve99.net                                                                       
   62.115.46.191   1299    321.631             (San Jose, California, US, NA) isc-ic-380208.ip.twelve99-cust.net                                                                  
   192.158.252.10  1280    246.454        (Mountain View, California, US, NA) us-pao-as1280.anchors.atlas.ripe.net                                                                
