   80.82.241.134   28792   0.0                      (London, England, GB, EU) 134-241-82-80.in-addr.pblin.net                                                                     
   80.82.241.133   28792   0.856                    (Oxford, England, GB, EU) 133-241-82-80.in-addr.pblin.net                                                                     
   80.82.243.126   28792   0.482                    (Witney, England, GB, EU) gi0-0-1.oxf-core-02.ip.pblin.net                                                                    
   80.82.243.121   28792   3.361                    (London, England, GB, EU) gi2-0-1.lon-core-01.ip.pblin.net                                                                    
   80.82.243.140   28792   3.257                        (Witney, ENG, GB, EU) gi0-0-0.lon-core-02.ip.pblin.net                                                                    
   80.82.243.152   28792   8.375                        (Witney, ENG, GB, EU) te0-3-0.man-core-01.ip.pblin.net                                                                    
   212.222.90.21   3257    8.588                  (Didsbury, England, GB, EU) ae7-250.cr1-man1.ip4.gtt.net                                                                        
   89.149.142.13   3257    13.211                       (London, ENG, GB, EU) ae1.cr13-lon1.ip4.gtt.net                                                                           
   212.221.80.242  3257    8.313                   (Stepney, England, GB, EU) ip4.gtt.net                                                                                         
   156.146.32.95   60068   8.314                    (Poplar, England, GB, EU)                                                                                                     
   103.170.154.254 142594  8.339                    (London, England, GB, EU) 254.154.170.103.speedyvps.uk                                                                        
