   162.255.145.7   40809   0.0              (New York City, New York, US, NA)                                                                                                     
   162.255.145.4   40809   0.365               (Secaucus, New Jersey, US, NA)                                                                                                     
   162.255.146.16  40809   0.31                (Secaucus, New Jersey, US, NA)                                                                                                     
   213.248.68.42   1299    2.36             (New York City, New York, US, NA) ewr-b2-link.ip.twelve99.net                                                                         
╭─ 62.115.136.46   1299    2.692            (New York City, New York, US, NA) nyk-bb2-link.ip.twelve99.net                                                                        
S (1299)  exa-north-and-south ✘ || atlantic-crossing-1-ac-1 ✓ || yellow ✓ || apollo © || tata-tgn-atlantic ✓ || flag-atlantic-1-fa-1 ©
╰─ 62.115.113.21   1299    75.501                   (London, England, GB, EU) ldn-bb1-link.ip.twelve99.net                                                                        
   62.115.138.169  1299    72.842           (Shepherds Bush, England, GB, EU) ldn-b11-link.ip.twelve99.net                                                                        
   195.12.254.250  1299    72.848                (Willesden, England, GB, EU) datacamp-ic-357609.ip.twelve99-cust.net                                                             
   156.146.32.95   60068   74.639                   (Poplar, England, GB, EU)                                                                                                     
   103.170.154.254 142594  72.926                   (London, England, GB, EU) 254.154.170.103.speedyvps.uk                                                                        
