   185.173.16.151  48112   0.0                 (Bucharest, București, RO, EU) ro-buh-as48112.anchors.atlas.ripe.net                                                               
   185.173.16.130  48112   0.601                    (Odăi, București, RO, EU) vpe1a-ro-buh-001-vl234.xindi.eu                                                                     
   185.173.16.170  48112   0.605                         (None, None, RO, EU) vbr1-ro-buh-616-vl900.xindi.eu                                                                      
   85.186.202.9    12302   1.383                    (Odăi, București, RO, EU) ro-buh01a-ra1-vl502.b.astralnet.ro                                                                  
   ***             *       -inf                                           *** *                                                                                                   
   136.255.248.202 12302   2.69                (Bucharest, București, RO, EU)                                                                                                     
   195.2.29.1      1273    2.051               (Bucharest, București, RO, EU) ae17-100-xcr1.bcp.cw.net                                                                            
   ***             *       -inf                                           *** *                                                                                                   
╭─ 154.54.63.246   174     6.31                       (Constanta, CT, RO, EU) te0-0-2-2.rcr11.cnd01.atlas.cogentco.com                                                            
S&T (174)  kafos ✘
╰─ 130.117.2.53    174     8.613                           (Varna, 3, BG, EU) te0-0-1-0.rcr11.var01.atlas.cogentco.com                                                            
   149.14.200.10   174     8.507                       (Varna, Varna, BG, EU)                                                                                                     
   77.71.113.143   57619   8.872                       (Varna, Varna, BG, EU) ip-143-113-71-77.varnadatacenter.net                                                                
   185.184.62.4    213093  8.527                       (Varna, Varna, BG, EU)                                                                                                     
