   185.86.67.69    41494   0.0                 (Bucharest, București, RO, EU)                                                                                                     
   185.86.67.65    41494   0.401                   (Voluntari, Ilfov, RO, EU)                                                                                                     
   5.254.69.97     3223    0.56                (Bucuresti, București, RO, EU) buc-ird-03c.voxility.net                                                                            
   93.115.93.181   3223    0.954                   (Voluntari, Ilfov, RO, EU) buc-ird-02gw.voxility.net                                                                           
   109.163.235.174 3223    0.646                   (Voluntari, Ilfov, RO, EU) buc-ird-05gw.voxility.net                                                                           
╭─ 80.97.248.80    9050    0.711                   (Voluntari, Ilfov, RO, EU)                                                                                                     
S&T (9050, 57344)  kafos ✘
╰─ 178.132.82.71   57344   8.54                          (None, None, BG, EU) *                                                                                                   
   178.132.80.221  29687   17.658                        (None, None, BG, EU) as29687.peer.telehouse.bg                                                                           
   77.71.113.2     57619   17.724                        (None, None, BG, EU) ns2.varnadatacenter.net                                                                             
   77.71.113.143   57619   17.87                       (Varna, Varna, BG, EU) ip-143-113-71-77.varnadatacenter.net                                                                
   185.184.62.4    213093  18.023                      (Varna, Varna, BG, EU)                                                                                                     
