   94.126.239.59   48070   0.0                (Peterborough, England, GB, EU) 59.239.126.94.ptr.sibson.as48070.net                                                                
   94.126.239.62   48070   0.56                      (Elton, England, GB, EU) 62.239.126.94.ptr.sibson.as48070.net                                                                
   94.126.239.249  48070   0.739                     (Elton, England, GB, EU) teleh-nrth-9k-core01.sibson.as48070.net                                                             
   62.115.184.134  1299    3.995                    (London, England, GB, EU) ldn-b3-link.ip.twelve99.net                                                                         
╭─ 62.115.120.74   1299    4.869                    (Poplar, England, GB, EU) ldn-bb1-link.ip.twelve99.net                                                                        
S&T (1299)  circe-north ✓ || ulysses-2 ✘ || scylla ✘ || zeus ✓ || concerto ✘ || farland-north ✘
╰─ 213.155.136.99  1299    10.26           (Amsterdam, North Holland, NL, EU) adm-bb1-link.ip.twelve99.net                                                                        
   62.115.136.221  1299    11.632          (Amsterdam, North Holland, NL, EU) adm-b3-link.ip.twelve99.net                                                                         
   62.115.179.163  1299    10.12           (Amsterdam, North Holland, NL, EU) wikimedia-ic-381309.ip.twelve99-cust.net                                                            
   ***             *       -inf                                           *** *                                                                                                   
   185.15.59.74    14907   11.546          (Amsterdam, North Holland, NL, EU) atlas3001.wikimedia.org                                                                             
