   103.156.251.7   141235  0.0                 (Singapore, Singapore, SG, AS)                                                                                                     
   103.156.251.3   141235  0.516               (Singapore, Singapore, SG, AS)                                                                                                     
   62.115.55.208   1299    1.035               (Singapore, Singapore, SG, AS) snge-b5-link.ip.twelve99.net                                                                        
   ***             *       -inf                                           *** *                                                                                                   
   62.115.137.243  1299    1.452               (Singapore, Singapore, SG, AS) snge-b4-link.ip.twelve99.net                                                                        
   213.248.78.190  1299    2.309               (Singapore, Singapore, SG, AS) ptlynx-ic-310271.ip.twelve99-cust.net                                                               
╭─ 111.95.244.169  7632    2.362               (Singapore, Singapore, SG, AS) fm-dyn-111-95-244-169.fast.net.id                                                                   
S&T (7632, 136106)  australia-singapore-cable-asc ✓ || indigo-west ✓ || indonesia-global-gateway-igg-system ✓ || jakarta-bangka-bintan-batam-singapore-b3js ✘ || seamewe-3 ✓ || matrix-cable-system ✘ || jasuka ✓ || b2js-jakarta-bangka-batam-singapore-cable-system ✘ || jakabare ✓
╰─ 103.87.186.179  136106  21.698                  (Jakarta, Jakarta, ID, AS) ip186-179.fiberstar.net.id                                                                          
   103.170.24.250  142360  21.714                  (Jakarta, Jakarta, ID, AS) ipv4-250-24-170-103.nexa.net.id                                                                     
   103.170.25.13   142360  23.069            (Semarang, Central Java, ID, AS) ipv4-13-25-170-103.nexa.net.id                                                                      
