   213.238.162.218 48292   0.0                   (Istanbul, Istanbul, TR, AS) tr-ist-as48292.anchors.atlas.ripe.net                                                               
   213.238.162.217 48292   0.386                 (Ataşehir, Istanbul, TR, AS) tr-ist-as48292.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   10.235.234.40   *       1.122                                          ***                                                                                                     
   195.175.203.85  9121    0.578                 (Istanbul, Istanbul, TR, AS) 195.175.203.85.static.turktelekom.com.tr                                                            
   212.156.251.213 9121    1.73                  (Istanbul, Istanbul, TR, AS) 00-atakoy-sr14s-t2-2---00-itu-sr12e-t3-1.statik.turktelekom.com.tr                                  
   81.212.203.145  9121    1.935                         (None, None, TR, AS) 34-acibadem-xrs-t2-2---00-atakoy-xrs-t2-2.statik.turktelekom.com.tr                                 
   81.212.211.198  9121    10.867                        (None, None, TR, AS) 35-hatay-sr12e-t2-1---34-acibadem-xrs-t2-2.statik.turktelekom.com.tr                                
   81.212.214.181  9121    10.957                        (None, None, TR, AS) 63-sanliurfa-t3-1---63-sanliurfa-t3-3.statik.turktelekom.com.tr                                     
   212.156.144.46  43391   11.949                      (Istanbul, 34, TR, AS) 212.156.144.46.static.turktelekom.com.tr                                                            
   77.223.128.226  43391   11.479             (İzmir, İzmir Province, TR, AS)                                                                                                     
