   176.119.210.244 56457   0.0                       (Athens, Attica, GR, EU)                                                                                                     
   176.119.210.254 56457   0.499                 (Áno Liósia, Attica, GR, EU)                                                                                                     
   185.201.254.32  56457   0.467                 (Áno Liósia, Attica, GR, EU) te0-3.ef1.ath01.fastpath.gr                                                                         
   ***             *       -inf                                           *** *                                                                                                   
╭─ 213.144.178.113 6762    0.572                 (Áno Liósia, Attica, GR, EU) xe2-0-0-3.atene6.ate.seabone.net                                                                    
LHL (6762)  mednautilus-submarine-system 👍 ↠ asia-africa-europe-1-aae-1 ✓ || mednautilus-submarine-system 👍 ↠ seamewe-3 👍
╰─ 195.22.196.7    6762    49.247             (Frankfurt am Main, HE, DE, EU) ae5.francoforte34.fra.seabone.net                                                                   
   195.22.196.7    6762    49.247             (Frankfurt am Main, HE, DE, EU) ae5.francoforte34.fra.seabone.net                                                                   
   208.184.12.110  6461    46.372                      (Fürth, Hesse, DE, EU) zayo.ae12.mcs1.fra9.de.eth.zayo.com                                                                 
╭─ 64.125.29.64    6461    55.703             (Frankfurt am Main, HE, DE, EU) ae1.cs1.fra9.de.eth.zayo.com                                                                        
T (6461)  
╰─ 64.125.29.67    6461    55.631                        (Paris, IDF, FR, EU) ae2.cs1.cdg11.fr.eth.zayo.com                                                                       
   64.125.29.84    6461    55.712                        (Paris, IDF, FR, EU) ae0.cs1.cdg12.fr.eth.zayo.com                                                                       
   64.125.29.87    6461    55.763                        (Paris, IDF, FR, EU) ae1.mcs1.cdg12.fr.eth.zayo.com                                                                      
   64.125.30.183   8218    55.877                        (Paris, IDF, FR, EU) v3.ae10.ter3.eqx2.par.as8218.eu                                                                     
   83.167.55.99    8218    61.783                    (Lyon/Bron, ARA, FR, EU) ae8.tcr2.sfr.lyn.core.as8218.eu                                                                     
   83.167.55.206   8218    65.785                    (Marseille, PAC, FR, EU) ae9.tcr1.itx.mrs.core.as8218.eu                                                                     
   83.167.55.212   8218    67.744     (Montpellier/Mediterranee, OCC, FR, EU) ae2.ter1.neodc.mpl.core.as8218.eu                                                                   
   83.167.55.235   8218    67.852     (Montpellier/Mediterranee, OCC, FR, EU) ae4.ter2.neodc.mpl.core.as8218.eu                                                                   
   83.167.56.247   8218    71.23              (Toulouse/Blagnac, OCC, FR, EU) ae3.tcr2.bal.tls.core.as8218.eu                                                                     
   213.152.16.90   15826   71.633             (Toulouse/Blagnac, OCC, FR, EU) nfrance-gw2.tcr2.bal.tls.cust.as8218.eu                                                             
   ***             *       -inf                                           *** *                                                                                                   
   80.247.237.225  15826   72.402    (Ramonville-Saint-Agne, Occitanie, FR, EU) ancre-atlas.nfrance.com                                                                             
