   45.94.14.204    208520  0.0                (Riyadh, Riyadh Region, SA, AS)                                                                                                     
   45.94.14.193    208520  0.521              (Riyadh, Riyadh Region, SA, AS)                                                                                                     
╭─ 212.138.250.7   8895    0.824              (Riyadh, Riyadh Region, SA, AS)                                                                                                     
S (8895, 3356)  seamewe-5 ✓ || asia-africa-europe-1-aae-1 ✓ || seamewe-4 ✓ || peace-cable ✘ || imewe ✓ || seamewe-3 ✓
╰─ 213.242.126.197 3356    74.429    (Marseille, Provence-Alpes-Côte d'Azur, FR, EU) et-7-0-17-3.edge4.marseille1.level3.net                                                             
   171.75.8.37     3356    79.235              (Paris, Île-de-France, FR, EU) ae1.3108.edge4.par1.neo.colt.net                                                                    
   64.125.12.113   6461    89.402              (Paris, Île-de-France, FR, EU) ae0.mpr1.cdg11.fr.zip.zayo.com                                                                      
   ***             *       -inf                                           *** *                                                                                                   
   64.125.29.87    6461    89.783                        (Paris, IDF, FR, EU) ae1.mcs1.cdg12.fr.eth.zayo.com                                                                      
   64.125.30.183   8218    89.647                        (Paris, IDF, FR, EU) v3.ae10.ter3.eqx2.par.as8218.eu                                                                     
   83.167.55.99    8218    96.056                    (Lyon/Bron, ARA, FR, EU) ae8.tcr2.sfr.lyn.core.as8218.eu                                                                     
   83.167.55.206   8218    99.857                    (Marseille, PAC, FR, EU) ae9.tcr1.itx.mrs.core.as8218.eu                                                                     
   83.167.56.139   8218    101.768    (Montpellier/Mediterranee, OCC, FR, EU) ae8.ter1.neodc.mpl.core.as8218.eu                                                                   
   83.167.55.235   8218    102.373    (Montpellier/Mediterranee, OCC, FR, EU) ae4.ter2.neodc.mpl.core.as8218.eu                                                                   
   83.167.56.247   8218    105.191            (Toulouse/Blagnac, OCC, FR, EU) ae3.tcr2.bal.tls.core.as8218.eu                                                                     
   213.152.16.90   15826   105.369            (Toulouse/Blagnac, OCC, FR, EU) nfrance-gw2.tcr2.bal.tls.cust.as8218.eu                                                             
   ***             *       -inf                                           *** *                                                                                                   
   80.247.237.225  15826   107.132   (Ramonville-Saint-Agne, Occitanie, FR, EU) ancre-atlas.nfrance.com                                                                             
