   197.189.194.147 37153   0.0                (Johannesburg, Gauteng, ZA, AF) atlas-anchor-jnb1.jnb.net.host-h.net                                                                
   197.189.194.145 37153   0.917              (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   197.189.193.3   37153   0.325              (Johannesburg, Gauteng, ZA, AF) core-router2.jnb1.host-h.net                                                                        
   41.66.132.245   37179   0.38               (Johannesburg, Gauteng, ZA, AF) 41-66-132-245-f5.customer.xe-0-0-2-gp-sm-dce-2.africainx.net                                        
   41.84.12.109    37179   1.841              (Johannesburg, Gauteng, ZA, AF) core.ge-0-1-0-gp-id-pbr-1.za.africainx.net                                                          
   105.25.146.5    37100   2.462              (Johannesburg, Gauteng, ZA, AF)                                                                                                     
   105.16.28.1     37100   157.85                  (Johannesburg, GT, ZA, AF) ce-0-2-0-0.cr-01-jnb.za.seacomnet.com                                                               
   105.25.160.150  37100   157.813          (Cape Town, Western Cape, ZA, AF) ce-0-2-9.cr-01-cpt.za.seacomnet.com                                                                 
╭─ 105.16.9.202    37100   151.217                    (Empangeni, NL, ZA, AF) xe-0-0-30-0.cr-02-emg.za.seacomnet.com                                                              
S (37100)  
╰─ 105.16.33.8     37100   150.477                   (Marseille, PAC, FR, EU) xe-0-0-1-0.pp-01-mrs.fr.seacomnet.com                                                               
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   80.247.237.225  15826   183.049   (Ramonville-Saint-Agne, Occitanie, FR, EU) ancre-atlas.nfrance.com                                                                             
