   104.167.241.3   398355  0.0                        (Spring, Texas, US, NA)                                                                                                     
   104.167.241.1   398355  0.146                      (Spring, Texas, US, NA) springtx.dataideas.com                                                                              
   ***             *       -inf                                           *** *                                                                                                   
   154.24.6.85     174     1.517                      (Spring, Texas, US, NA) te0-2-1-16.rcr51.iah04.atlas.cogentco.com                                                           
   154.54.7.85     174     2.233                        (Houston, TX, US, NA) be2991.ccr41.iah01.atlas.cogentco.com                                                               
   154.54.82.242   174     28.425                         (Miami, FL, US, NA) be3569.ccr21.mia01.atlas.cogentco.com                                                               
   154.54.88.226   174     28.914                    (Miami, Florida, US, NA) be3081.ccr41.mia03.atlas.cogentco.com                                                               
   38.104.94.178   23520   28.703                        (None, None, US, NA) *                                                                                                   
   69.79.104.0     23520   29.72                    (North Miami, FL, US, NA) ae2.nmi-mx2020-1.north-miami.fl.usa.cwc.com                                                         
   69.79.100.167   23520   30.074                        (None, None, US, NA) *                                                                                                   
╭─ 63.245.74.127   23520   29.146                    (Miami, Florida, US, NA)                                                                                                     
S&T (23520, 64150)  
╰─ 45.68.34.250    64150   50.61     (San Pedro Sula, Cortés Department, HN, NA)                                                                                                     
   45.68.35.213    64150   51.096    (San Pedro Sula, Cortés Department, HN, NA)                                                                                                     
