   139.99.78.22    16276   0.0                 (Singapore, Singapore, SG, AS) sg-sin-as16276.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   10.29.210.254   *       0.543                                          ***                                                                                                     
   10.29.192.52    *       0.458                                          ***                                                                                                     
   10.29.135.96    *       0.8                                            ***                                                                                                     
   10.133.65.52    *       0.857                                          ***                                                                                                     
   10.75.0.74      *       0.722                                          ***                                                                                                     
   10.75.248.14    *       0.975                                          ***                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   10.200.0.198    *       1.754                                          ***                                                                                                     
╭─ 103.16.102.21   131111  2.128                     (Singapore, 1, SG, None) moratel.sgix.sg                                                                                     
S&T (131111, 45701)  australia-singapore-cable-asc ✘ || indigo-west ✘ || indonesia-global-gateway-igg-system ✓ || jakarta-bangka-bintan-batam-singapore-b3js ✘ || seamewe-3 ✘ || matrix-cable-system ✘ || b2js-jakarta-bangka-batam-singapore-cable-system ✘ || jasuka ✓ || jakabare ✘
╰─ 103.129.217.2   45701   17.047                        (None, None, ID, AS) *                                                                                                   
   103.129.217.2   45701   17.047                        (None, None, ID, AS) *                                                                                                   
   202.58.202.34   *       36.672                  (Jakarta, Jakarta, ID, AS) ae-1-8-r1.dps1.globalxtreme.net                                                                     
   103.225.148.27  45701   33.546                  (Jakarta, Jakarta, ID, AS) ip-27-148-225-103.globalxtreme.net                                                                  
