   77.223.128.226  43391   0.0                (İzmir, İzmir Province, TR, AS)                                                                                                     
   10.200.0.1      *       0.347                                          ***                                                                                                     
   10.20.0.251     *       0.957                                          ***                                                                                                     
   10.34.35.9      *       14.764                                         ***                                                                                                     
   149.14.44.1     174     14.516                (Istanbul, Istanbul, TR, AS) te0-6-0-6.agr21.ist01.atlas.cogentco.com                                                            
   154.54.74.205   174     14.729                (Istanbul, Istanbul, TR, AS) be3510.rcr71.ist01.atlas.cogentco.com                                                               
   154.25.16.82    174     15.584                (Istanbul, Istanbul, TR, AS) be3821.nr71.b061536-0.ist01.atlas.cogentco.com                                                      
   10.252.2.142    *       15.032                                         ***                                                                                                     
   10.252.1.201    *       15.803                                         ***                                                                                                     
   10.252.0.42     *       28.869                                         ***                                                                                                     
   149.34.193.159  208972  31.853                (Istanbul, Istanbul, TR, AS)                                                                                                     
   149.34.193.159  208972  31.853                (Istanbul, Istanbul, TR, AS)                                                                                                     
