   107.162.223.5   55002   0.0                  (Seattle, Washington, US, NA)                                                                                                     
   107.162.223.1   55002   0.486                (Seattle, Washington, US, NA)                                                                                                     
   63.251.163.97   14744   0.494                (Seattle, Washington, US, NA)                                                                                                     
   63.251.160.12   14744   1.412                        (Seattle, WA, US, NA) core2.bbnet1.sea.pnap.net                                                                           
   206.81.80.36    1828    1.456                      (Seattle, WA, US, None) seattleix.unitasglobal.net                                                                          
   50.115.90.199   1828    1.777                        (Seattle, WA, US, NA) ae30.cr2.sea1.us.unitasglobal.net                                                                   
   38.88.50.33     174     1.534                (Seattle, Washington, US, NA) te0-7-0-16.ccr21.sea02.atlas.cogentco.com                                                           
   154.54.95.205   174     2.711                (Seattle, Washington, US, NA)                                                                                                     
   154.54.42.122   174     2.826                        (Seattle, WA, US, NA) be3320.rcr12.sea05.atlas.cogentco.com                                                               
   154.24.49.154   174     2.949                       (New York, NY, US, NA) te0-0-2-0.nr11.b000950-0.jfk02.atlas.cogentco.com                                                   
   38.122.91.114   174     2.155                (Seattle, Washington, US, NA)                                                                                                     
   166.0.65.4      396163  1.715                (Seattle, Washington, US, NA)                                                                                                     
