   37.10.126.72    199610  0.0              (Los Angeles, California, US, NA)                                                                                                     
   37.10.126.65    199610  1.293            (Los Angeles, California, US, NA)                                                                                                     
   62.115.44.180   1299    1.386            (Los Angeles, California, US, NA) lax-b22-link.ip.twelve99.net                                                                        
   80.239.160.65   1299    1.795            (Los Angeles, California, US, NA) cogent-ic-352552.ip.twelve99-cust.net                                                               
   154.54.42.101   174     1.599                    (Los Angeles, CA, US, NA) be3271.ccr41.lax01.atlas.cogentco.com                                                               
   154.54.31.190   174     14.237                      (San Jose, CA, US, NA) be3176.ccr21.sjc01.atlas.cogentco.com                                                               
   154.54.43.69    174     14.159                 (San Francisco, CA, US, NA) be3178.ccr21.sfo01.atlas.cogentco.com                                                               
   154.54.0.234    174     31.578                       (Seattle, WA, US, NA) be2075.ccr21.sea02.atlas.cogentco.com                                                               
   154.54.95.205   174     29.995               (Seattle, Washington, US, NA)                                                                                                     
   154.54.162.82   174     31.8                 (Seattle, Washington, US, NA)                                                                                                     
   154.24.49.158   174     32.682                      (New York, NY, US, NA) te0-0-2-0.nr11.b001559-0.jfk02.atlas.cogentco.com                                                   
   38.122.91.114   174     33.077               (Seattle, Washington, US, NA)                                                                                                     
   166.0.65.4      396163  29.728               (Seattle, Washington, US, NA)                                                                                                     
