   63.222.7.46     3491    0.0                 (Hong Kong, Hong Kong, HK, AS) 63-222-7-46.static.pccwglobal.net                                                                   
   63.222.7.45     3491    0.718            (Kau Wa Keng, Kwai Tsing, HK, AS) 63-222-7-45.static.pccwglobal.net                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   63.223.29.198   3491    1.287                    (Hong Kong, None, HK, AS) HundredGE0-5-0-0.br02.hkg08.pccwbtn.net                                                             
   63.218.205.154  2914    1.692                         (None, None, HK, AS) *                                                                                                   
╭─ 129.250.5.164   2914    9.28                (Hong Kong, Hong Kong, HK, AS) ae-16.r26.tkokhk01.hk.bb.gin.ntt.net                                                                
S (2914)  
╰─ 129.250.2.50    2914    44.919                        (None, None, US, NA) ae-12.r30.tokyjp05.jp.bb.gin.ntt.net                                                                
   129.250.5.78    2914    153.068                       (None, None, US, NA) ae-4.sayonara-dorian.r25.snjsca04.us.bb.gin.ntt.net                                                 
   129.250.2.191   2914    154.037                       (None, None, US, NA) ae-6.sayonara-dorian.r22.chcgil09.us.bb.gin.ntt.net                                                 
   157.238.230.177 2914    152.868          (Santa Clara, California, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   23.155.72.145   64289   154.42           (Santa Clara, California, US, NA)                                                                                                     
