   41.221.208.94   3491    0.0                (Johannesburg, Gauteng, ZA, AF) 41-221-208-94.static.pccwglobal.net                                                                 
   41.221.208.93   3491    0.923              (Johannesburg, Gauteng, ZA, AF) 41-221-208-93.static.pccwglobal.net                                                                 
   196.33.119.97   3741    17.482                       (Breyten, MP, ZA, AF) mi-za-bry-pe6-gi2-0-3012.ip.isnet.net                                                               
   168.209.88.128  3741    17.537                        (None, None, ZA, AF) mi-za-pkl-br7-be-302.ip.ddii.network                                                                
   168.209.88.129  3741    17.319                        (None, None, ZA, AF) mi-za-pkl-p7-hun-0-0-0-1sub302.ip.ddii.network                                                      
   196.26.0.130    3741    17.154                        (None, None, ZA, AF) pr2-pkl-ae0.ip.ddii.network                                                                         
   196.60.8.188    37100   17.818                 (Johannesburg, 6, ZA, None) seacom.ixp.joburg                                                                                   
   105.16.29.2     37100   33.115                  (Johannesburg, GT, ZA, AF) ce-0-3-0-0.cr-02-jnb.za.seacomnet.com                                                               
   105.16.14.194   37100   33.284                     (Cape Town, WC, ZA, AF) ce-0-3-0-3.cr-02-cpt.za.seacomnet.com                                                               
   105.16.30.9     37100   33.236                     (Cape Town, WC, ZA, AF) xe-0-0-0-0.er-01-cpt.za.seacomnet.com                                                               
   105.22.67.166   37100   32.869           (Cape Town, Western Cape, ZA, AF)                                                                                                     
   102.220.178.118 328829  32.857           (Cape Town, Western Cape, ZA, AF) rnd-br2-sfp28-2-882.vumatel.co.za                                                                   
   102.220.179.118 328829  33.298           (Cape Town, Western Cape, ZA, AF) unknown.vumatel.co.za                                                                               
   102.220.178.25  328829  33.7             (Cape Town, Western Cape, ZA, AF) unknown.vumatel.co.za                                                                               
