   5.180.57.81     56987   0.0           (Lyon, Auvergne-Rhône-Alpes, FR, EU) fr-lio-as56987.anchors.atlas.ripe.net                                                               
   5.180.57.80     56987   0.209     (Saint-Fons, Auvergne-Rhône-Alpes, FR, EU) 80-57-180-5.rev.abaclouda.net                                                                       
   5.180.58.70     56987   0.245     (Saint-Fons, Auvergne-Rhône-Alpes, FR, EU) 01-xe.bgp03.lyn.abaclouda.net                                                                       
   5.180.58.72     56987   0.239 (6.435)          (Paris, Île-de-France, FR, EU) 01-xe.bgp05.par.abaclouda.net                                                                       
   37.49.236.67    37100   18.08                         (Paris, IDF, FR, EU) seacom.par.franceix.net                                                                             
╭─ 105.16.32.2     37100   159.007                   (Marseille, PAC, FR, EU) ae-2.cr-02-mrs.fr.seacomnet.com                                                                     
S&T (37100)  
╰─ 105.25.160.165  37100   158.713          (Cape Town, Western Cape, ZA, AF) ce-0-1-9.cr-02-cpt.za.seacomnet.com                                                                 
   105.16.31.9     37100   151.394                    (Cape Town, WC, ZA, AF) xe-1-0-0-0.er-01-cpt.za.seacomnet.com                                                               
   105.22.67.166   37100   151.215          (Cape Town, Western Cape, ZA, AF)                                                                                                     
   102.220.178.121 328829  151.243          (Cape Town, Western Cape, ZA, AF) rnd-br2-sfp28-1-862.vumatel.co.za                                                                   
   102.220.179.118 328829  159.095          (Cape Town, Western Cape, ZA, AF) unknown.vumatel.co.za                                                                               
   102.220.178.25  328829  152.09           (Cape Town, Western Cape, ZA, AF) unknown.vumatel.co.za                                                                               
