   208.73.138.12   32425   0.0                    (Ashland, Virginia, US, NA)                                                                                                     
   208.73.138.1    32425   0.538               (Glen Allen, Virginia, US, NA)                                                                                                     
   208.73.136.41   32425   0.535               (Glen Allen, Virginia, US, NA) sw-pxf-mmr-n3k1.v986.xe.pxfactorydc.net                                                             
   208.73.136.141  32425   0.298                        (Ashland, VA, US, NA) r-pxf-ce2.v971.xe.qts.pxfactorydc.net                                                               
   208.73.136.140  32425   0.306               (Glen Allen, Virginia, US, NA) edge1.v971.ae35.qts.pxfactorydc.net                                                                 
   209.51.171.153  6939    1.052               (Glen Allen, Virginia, US, NA) port-channel5.switch1.ric1.he.net                                                                   
   184.105.81.211  6939    2.645              (Indian Head, Maryland, US, NA) 100ge0-33.core1.mnz1.he.net                                                                         
   72.52.92.237    6939    2.991                    (Kansas City, MO, US, NA) 100ge0-68.core2.mci3.he.net                                                                         
   ***             *       -inf                                           *** *                                                                                                   
   184.105.222.149 6939    29.765                         (Miami, FL, US, NA) 100ge0-79.core2.mia1.he.net                                                                         
╭─ 184.104.199.178 6939    96.679                    (Miami, Florida, US, NA) 100ge0-35.core1.for1.he.net                                                                         
S (6939, 266152)  
╰─ 45.184.145.203  266152  110.198                    (Fortaleza, CE, BR, SA) as266152.fortaleza.ce.ix.br                                                                         
   45.6.36.173     266152  108.715          (Campina Grande, Paraíba, BR, SA) 45.6.36.173.pjmfibra.com.br                                                                         
